,Release_Date,Title,Production_Budget,Opening_Weekend,Domestic_Boxoffice_Sales,Wordwide_Boxoffice_Sales,Dom_DVD_Sales,Dom_BRAY_Sales,Total_Dom_Video_Sales
4,2011-07,Harry Potter and the Deathly Hollows II,125000000,169189427,381193157,1341693157,102461187,60066364,162527551
5,2010-11,Harry Potter and the Deathly Hollows I,125000000,125017372,296131568,960431568,95762486,61118715,156881201
6,2009-07,Harry Potter and the Half-Blood Prince,250000000,77835727,302089278,935213767,148064710,51295786,199360496
7,2007-07,Harry Potter and the Order of Phoenix,150000000,77108414,292137260,943076457,254270750,5206421,259477171
8,2005-11,Harry Potter and the Goblet of Fire,150000000,102685961,290201752,897099794,542640844,6237064,548877908
9,2004-06,Harry Potter and the Prisoner of Askaban,130000000,93687367,249757726,795616337,0,0,0
10,2002-11,Harry Potter and the Chamber of Secrets,100000000,88357488,262233381,879225135,0,0,0
11,2001-11,Harry Potter and the Sorcerers Stone,125000000,90294621,317871467,975047606,0,0,0
