Common_name,Scientific_name,Species_group,Country
Red-handed Howling Monkey,Alouatta ululata,Mammals,Brazil
Red-headed Amazon River Turtle,Podocnemis erythrocephala,Reptiles,"Brazil, Colombia, Venezuela"
Red-nosed Tree Rat,Phyllomys brasiliensis,Mammals,Brazil
Red-shouldered Spinetail,Gyalophylax hellmayri,Birds,Brazil
Red-spectacled Parrot,Amazona pretrei,Birds,"Argentina, Brazil, Paraguay"
Red-tailed Parrot,Amazona brasiliensis,Birds,Brazil
Restinga Antwren,Formicivora littoralis,Birds,Brazil
Restinga Tyrannulet,Phylloscartes kronei,Birds,Brazil
Reticulate Leaf Frog,Phyllomedusa ayeaye,Amphibians,Brazil
Ribeirao Button Frog,Cycloramphus acangatan,Amphibians,Brazil
Rinorea ramiziana,Rinorea ramiziana,Plants,Brazil
Rinorea maximiliani,Rinorea maximiliani,Plants,Brazil
Rinorea longistipulata,Rinorea longistipulata,Plants,Brazil
Rinorea bicornuta,Rinorea bicornuta,Plants,Brazil
Rinorea villosiflora,Rinorea villosiflora,Plants,Brazil
Rio Branco Antbird,Cercomacra carbonaria,Birds,"Brazil, Guyana"
Rio De Janeiro Antbird,Cercomacra brasiliana,Birds,Brazil
Rio De Janeiro Antwren,Myrmotherula fluminensis,Birds,Brazil
Rio De Janeiro Arboreal Rat,Phaenomys ferrugineus,Mammals,Brazil
Rio Mutum Frog,Dasypops schirchi,Amphibians,Brazil
Rio Skate,Rioraja agassizi,Fishes,"Argentina, Brazil, Uruguay"
Roberto's Spiny Rat,Proechimys roberti,Mammals,Brazil
Rollinia pickelii,Rollinia pickelii,Plants,Brazil
Rollinia helosioides,Rollinia helosioides,Plants,"Brazil, Ecuador"
Rollinia ferruginea,Rollinia ferruginea,Plants,Brazil
Rollinia calcarata,Rollinia calcarata,Plants,Brazil
Rollinia bahiensis,Rollinia bahiensis,Plants,Brazil
Rondonia Bushbird,Clytoctantes atrogularis,Birds,Brazil
Rondonia Marmoset,Mico rondoni,Mammals,Brazil
Roraima Bush Toad,Oreophrynella quelchii,Amphibians,"Brazil, Guyana, Venezuela"
Rosewood,Dalbergia nigra,Plants,Brazil
Roughskin Skate,Dipturus trachydermus,Fishes,"Argentina, Brazil, Chile"
Rudgea crassifolia,Rudgea crassifolia,Plants,Brazil
Rufous-faced Crake,Laterallus xenopterus,Birds,"Bolivia, Brazil, Paraguay"
Rufous-fronted Antthrush,Formicarius rufifrons,Birds,"Bolivia, Brazil, Peru"
Rufous-rumped Seedeater,Sporophila hypochroma,Birds,"Argentina, Bolivia, Brazil, Paraguay"
Rufous-sided Pygmy-tyrant,Euscarthmus rufomarginatus,Birds,"Bolivia, Brazil, Paraguay, Suriname"
Rufous-tailed Antbird,Drymophila genei,Birds,Brazil
Rupirana cardosoi,Rupirana cardosoi,Amphibians,Brazil
Russet-winged Spadebill,Platyrinchus leucoryphus,Birds,"Argentina, Brazil, Paraguay"
Rusty-barred Owl,Strix hylophila,Birds,"Argentina, Brazil, Paraguay"
Rusty-necked Piculet,Picumnus fuscus,Birds,"Bolivia, Brazil"
Saffron Toucanet,Pteroglossus bailloni,Birds,"Argentina, Brazil, Paraguay"
Saffron-cowled Blackbird,Xanthopsar flavus,Birds,"Argentina, Brazil, Paraguay, Uruguay"
Salvadori's Antwren,Myrmotherula minor,Birds,Brazil
Santa Catarina Leaf Frog,Phrynomedusa appendiculata,Amphibians,Brazil
Santa Catarina Sabrefin,Campellolebias brucei,Fishes,Brazil
Santa Catarina's Guinea Pig,Cavia intermedia,Mammals,Brazil
Santa Cruz Dwarf Frog,Physalaemus soaresi,Amphibians,Brazil
Sao Francisco Sparrow,Arremon franciscanus,Birds,Brazil
Sao Paulo Tyrannulet,Phylloscartes paulista,Birds,"Argentina, Brazil, Paraguay"
Sarcaulus vestitus,Sarcaulus vestitus,Plants,Brazil
Sarcaulus inflexus,Sarcaulus inflexus,Plants,Brazil
Saw-billed Hermit,Ramphodon naevius,Birds,Brazil
Scaled Ground-cuckoo,Neomorphus squamiger,Birds,Brazil
Scalloped Antbird,Myrmeciza ruficauda,Birds,Brazil
Schlumbergera opuntioides,Schlumbergera opuntioides,Plants,Brazil
Schmidt's Spinythumb Frog,Crossodactylus schmidti,Amphibians,"Argentina, Brazil, Paraguay"
Scinax trapicheiroi,Scinax trapicheiroi,Amphibians,Brazil
Scinax peixotoi,Scinax peixotoi,Amphibians,Brazil
Scinax faivovichi,Scinax faivovichi,Amphibians,Brazil
Scinax alcatraz,Scinax alcatraz,Amphibians,Brazil
Sclerolobium striatum,Sclerolobium striatum,Plants,Brazil
Sclerolobium pilgerianum,Sclerolobium pilgerianum,Plants,Brazil
Sclerolobium beaureipairei,Sclerolobium beaureipairei,Plants,Brazil
Seabass,Epinephelus niveatus,Fishes,"Central America, North America (including United States), Oceanic, South America"
Serra Do Mar Tyrannulet,Phylloscartes difficilis,Birds,Brazil
Seven-colored Tanager,Tangara fastuosa,Birds,Brazil
Sharp-tailed Grass Tyrant,Culicivora caudacuta,Birds,"Argentina, Bolivia, Brazil, Paraguay, Uruguay"
Sharpsnout Stingray,Dasyatis geijskesi,Fishes,"Brazil, French Guiana, Guyana, Senegal, Trinidad and Tobago, Venezuela"
Short-eared Dog,Atelocynus microtis,Mammals,"Bolivia, Brazil, Colombia, Ecuador, Peru"
Shortnose Guitarfish,Zapteryx brevirostris,Fishes,"Argentina, Brazil, Uruguay"
Sickle-winged Nightjar,Eleothreptus anomalus,Birds,"Argentina, Brazil, Paraguay"
Siphoneugenia widgreniana,Siphoneugenia widgreniana,Plants,Brazil
Siphoneugenia densiflora,Siphoneugenia densiflora,Plants,Brazil
Six-tubercled Amazon River Turtle,Podocnemis sextuberculata,Reptiles,"Brazil, Colombia, Peru"
Slaty Bristlefront,Merulaxis ater,Birds,Brazil
Slender Antbird,Rhopornis ardesiacus,Birds,Brazil
Small Red Brocket,Mazama bororo,Mammals,Brazil
Solanum paralum,Solanum paralum,Plants,Brazil
Solanum ovum-fringillae,Solanum ovum-fringillae,Plants,Brazil
Solanum sycocarpum,Solanum sycocarpum,Plants,Brazil
Solitary Tinamou,Tinamus solitarius,Birds,"Argentina, Brazil, Paraguay"
Sooty Albatross,Phoebetria fusca,Birds,"Antarctica, New Zealand, Oceanic, South Africa, South America"
Sooty Shearwater,Ardenna grisea,Birds,"Africa, Antarctica, Asia, Australia, Central America, Europe, Middle East, North America (United States Territory), Oceanic, South America"
Sorocea guilleminiana,Sorocea guilleminiana,Plants,Brazil
Souari Tree,Caryocar coriaceum,Plants,Brazil
South American Tapir,Tapirus terrestris,Mammals,Colombia and Venezuela south to Paraguay and Argentina
South Brazilian Skate,Dipturus mennii,Fishes,Brazil
Southern Bluefin Tuna,Thunnus maccoyii,Fishes,"Africa, Asia, Australia, Canada, Oceans, South America"
Southern Bristle-tyrant,Phylloscartes eximius,Birds,"Argentina, Brazil, Paraguay"
Southern Giant-petrel,Macronectes giganteus,Birds,"Africa, Antarctic, Australia, Oceanic, South America"
Southern Long-nosed Armadillo,Dasypus hybridus,Mammals,"Argentina, Brazil, Paraguay, Uruguay"
Southern Royal Albatross,Diomedea epomophora,Birds,"Africa, Antarctica, Australia, Oceanic, South America"
Southern Sawtail Catshark,Galeus mincaronei,Fishes,Brazil
Southern Three-banded Armadillo,Tolypeutes matacus,Mammals,"Argentina, Bolivia, Brazil, Paraguay"
Sowbug Rice Rat,Hylaeamys oniscus,Mammals,Brazil
Spectacled Petrel,Procellaria conspicillata,Birds,"Angola, Argentina, Australia, Brazil, Namibia, South Africa, St. Helena, Uruguay"
Spectral Bat,Vampyrum spectrum,Mammals,"Belize, Brazil, Colombia, Costa Rica, Ecuador, French Guiana, Guatemala, Guyana, Honduras, Mexico, Nicaragua, Peru, Suriname, Trinidad and Tobago, Venezuela"
Spiny Angel Shark,Squatina guggenheim,Fishes,"Argentina, Brazil, Uruguay"
Spix's Red-handed Howler Monkey,Alouatta discolor,Mammals,Brazil
Splendid Pearlfish,Leptolebias splendens,Fishes,Brazil
Spot-breasted Antvireo,Dysithamnus stictothorax,Birds,"Argentina, Brazil"
Spotback Skate,Atlantoraja castelnaui,Fishes,"Argentina, Brazil, Uruguay"
Spotted Bamboowren,Psilorhamphus guttatus,Birds,"Argentina, Brazil"
Spotted Eagle Ray,Aetobatus narinari,Fishes,"Africa, Asia, Australia, Central America, Middle East, North America (including United States and US Island Territory and Hawaii), Oceans, South America"
Stegastes sanctipauli,Stegastes sanctipauli,Fishes,Brazil
Stephanopodium magnifolium,Stephanopodium magnifolium,Plants,Brazil
Straight-billed Reedhaunter,Limnoctites rectirostris,Birds,"Argentina, Brazil, Uruguay"
Strange-tailed Tyrant,Alectrurus risora,Birds,"Argentina, Brazil, Paraguay, Uruguay"
Stresemann's Bristlefront,Merulaxis stresemanni,Birds,Brazil
Striated Softtail,Thripophaga macroura,Birds,Brazil
Striped Dogfish,Mustelus fasciatus,Fishes,"Argentina, Brazil, Uruguay"
Sun Parakeet,Aratinga solstitialis,Birds,"Brazil, French Guiana, Guyana, Suriname, Venezuela"
Superagui Lion Tamarin,Leontopithecus caissara,Mammals,Brazil
Swallow-tailed Cotinga,Phibalura flavirostris,Birds,"Argentina, Bolivia, Brazil, Paraguay"
Syagrus macrocarpa,Syagrus macrocarpa,Plants,Brazil
Syagrus glaucescens,Syagrus glaucescens,Plants,Brazil
Tacinga werneri,Tacinga werneri,Plants,Brazil
Tacinga braunii,Tacinga braunii,Plants,Brazil
Tartaruga,Podocnemis expansa,Reptiles,South America (Orinoco R. and Amazon R. basins)
Tawny Piculet,Picumnus fulvescens,Birds,Brazil
Temminck's Seedeater,Sporophila falcirostris,Birds,"Argentina, Brazil, Paraguay"
Terminalia reitzii,Terminalia reitzii,Plants,South America
Terminalia kuhlmannii,Terminalia kuhlmannii,Plants,South America
Terminalia januariensis,Terminalia januariensis,Plants,South America
Terminalia acuminata,Terminalia acuminata,Plants,South America
Thin-spined Porcupine,Chaetomys subspinosus,Mammals,Brazil
Three-toed Guanabara Frog,Euparkerella tridactyla,Amphibians,Brazil
Three-toed Jacamar,Jacamaralcyon tridactyla,Birds,Brazil
Torres Redbelly Toad,Melanophryniscus macrogranulosus,Amphibians,Brazil
Tracaja,Podocnemis unifilis,Reptiles,South America (Orinoco R. and Amazon R. basins)
Transitional Colilargo,Microakodontomys transitorius,Mammals,Brazil
Trichilia casaretti,Trichilia casaretti,Plants,Brazil
Trichilia micropetala,Trichilia micropetala,Plants,Brazil
Trichilia bullata,Trichilia bullata,Plants,Brazil
Trichilia magnifoliola,Trichilia magnifoliola,Plants,Brazil
Trichilia blanchetii,Trichilia blanchetii,Plants,Brazil
Trichilia hispida,Trichilia hispida,Plants,"Brazil, Peru"
Trichilia florbranca,Trichilia florbranca,Plants,Brazil
Trichilia tetrapetala,Trichilia tetrapetala,Plants,Brazil
Trichilia areolata,Trichilia areolata,Plants,Brazil
Trichilia fasciculata,Trichilia fasciculata,Plants,Brazil
Trichilia surumuensis,Trichilia surumuensis,Plants,"Brazil, Guyana"
Trichilia emarginata,Trichilia emarginata,Plants,Brazil
Trichilia solitudinis,Trichilia solitudinis,Plants,"Brazil, Peru"
Trichilia elsae,Trichilia elsae,Plants,Brazil
Trichilia silvatica,Trichilia silvatica,Plants,Brazil
Trichilia discolor,Trichilia discolor,Plants,Brazil
Trichilia ramalhoi,Trichilia ramalhoi,Plants,Brazil
Trichodactylus crassus,Trichodactylus crassus,Crustaceans,Brazil
Trindade Petrel,Pterodroma arminjoniana,Birds,"Argentina, Brazil, Mauritius, Portugal, Puerto Rico"
Tristan Albatross,Diomedea dabbenena,Birds,"Angola, Argentina, Brazil, Namibia, South Africa, St. Helena, Uruguay"
Tropical Forest Snake,Calamodontophis sp. nov.,Reptiles,Brazil
Tropical Forest Snake,Calamodontophis paucidens,Reptiles,"Brazil, Uruguay"
Tropocyclops nananae,Tropocyclops nananae,Crustaceans,Brazil
Tropocyclops federensis,Tropocyclops federensis,Crustaceans,Brazil
Tuco-tuco Of The Dunes,Ctenomys flamarioni,Mammals,Brazil
Turk's Cap Cactus,Melocactus azureus,Plants,Brazil
Ubatuba Dwarf Frog,Physalaemus atlanticus,Amphibians,Brazil
Uebelmannia buiningii,Uebelmannia buiningii,Plants,Brazil
Uebelmannia gummifera,Uebelmannia gummifera,Plants,Brazil
Unicolored Tree Rat,Phyllomys unicolor,Mammals,Brazil
Unicoloured Antwren,Myrmotherula unicolor,Birds,Brazil
Urbanodendron verrucosum,Urbanodendron verrucosum,Plants,Brazil
Urbanodendron macrophyllum,Urbanodendron macrophyllum,Plants,Brazil
Urbanodendron bahiense,Urbanodendron bahiense,Plants,Brazil
Variegated Electric Ray,Diplobatus pictus,Fishes,"Brazil, French Guiana, Guyana, Suriname, Venezuela"
Vinaceous-breasted Parrot,Amazona vinacea,Birds,"Argentina, Brazil, Paraguay"
Virola surinamensis,Virola surinamensis,Plants,"Brazil, Costa Rica, Ecuador, French Guiana, Guyana, Panama, Peru, Suriname, Venezuela"
Virola parvifolia,Virola parvifolia,Plants,Brazil
Vouacapoua americana,Vouacapoua americana,Plants,"Brazil, French Guiana, Guyana, Peru, Suriname"
Wandering Albatross,Diomedea exulans,Birds,"Africa, Antarctica, Australia, Oceanic, South America"
Wattled Curassow,Crax globulosa,Birds,"Bolivia, Brazil, Colombia, Peru"
West Indian Manatee,Trichechus manatus,Mammals,"Caribbean Sea, South America, Southeastern USA"
Weygoldt's Treefrog,Aplastodiscus weygoldti,Amphibians,Brazil
Whale Shark,Rhincodon typus,Fishes,"Africa, American Samoa, Asia, Australia, Central America, Middle East, Oceanic, South America"
White-banded Tanager,Neothraupis fasciata,Birds,"Bolivia, Brazil, Paraguay"
White-bearded Antshrike,Biatas nigropectus,Birds,"Argentina, Brazil"
White-breasted Tapaculo,Scytalopus indigoticus,Birds,Brazil
White-browed Antpitta,Hylopezus ochroleucus,Birds,Brazil
White-browed Foliage-gleaner,Anabacerthia amaurotis,Birds,"Argentina, Brazil, Paraguay"
White-browed Guan,Penelope jacucaca,Birds,Brazil
White-browed Woodpecker,Piculus aurulentus,Birds,"Argentina, Brazil, Paraguay"
White-cheeked Spider Monkey,Ateles marginatus,Mammals,"Brazil (Mato Grosso, Para)"
White-chinned Petrel,Procellaria aequinoctialis,Birds,"Africa, Antarctic, Australia, Oceanic, South America"
White-collared Kite,Leptodon forbesi,Birds,Brazil
White-crested Guan,Penelope pileata,Birds,Brazil
White-eared Marmoset,Callithrix aurita,Mammals,Brazil
White-footed Saki,Pithecia albicans,Mammals,Brazil
White-lipped Peccary,Tayassu pecari,Mammals,"Central America, North America, South America"
White-necked Hawk,Leucopternis lacernulatus,Birds,Brazil
White-nosed Saki,Chiropotes albinasus,Mammals,Brazil
White-winged Cotinga,Xipholena atropurpurea,Birds,Brazil
White-winged Nightjar,Eleothreptus candicans,Birds,"Bolivia, Brazil, Paraguay"
Wied's Black-tufted-ear Marmoset,Callithrix kuhlii,Mammals,Brazil
Wied's Tyrant-manakin,Neopelma aurifrons,Birds,Brazil
Wiegmann's Tree Lizard,Anisolepis undulatus,Reptiles,"Argentina, Brazil, Uruguay"
Wonderfully Bristled Turk's-Head Cactus,Melocactus deinacanthus,Plants,Brazil
Woolly Spider Monkey,Brachyteles arachnoides,Mammals,Brazil
Woolly Waxy-Stemmed Turks-Cap Cactus,Melocactus glaucescens,Plants,Brazil
Wooly Jelly Palm,Butia eriospatha,Plants,Brazil
Yellow Cardinal,Gubernatrix cristata,Birds,"Argentina, Brazil, Uruguay"
Yellow Kite Swallowtail,Eurytides iphitas,Insects,Brazil
Yellow-faced Amazon,Alipiopsitta xanthops,Birds,"Bolivia, Brazil"
Yellow-faced Siskin,Carduelis yarrellii,Birds,"Brazil, Venezuela"
Yellow-legged Tinamou,Crypturellus noctivagus,Birds,Brazil
Yellowfin Grouper,Mycteroperca venenosa,Fishes,"Central America, North America (including United States), Oceanic, South America"
Yonenaga's Atlantic Spiny-rat,Trinomys yonenagae,Mammals,Brazil
Zamia amazonum,Zamia amazonum,Plants,South America
Zamia ulei,Zamia ulei,Plants,South America
Zamia poeppigiana,Zamia poeppigiana,Plants,South America
Zamia lecointei,Zamia lecointei,Plants,South America
Zamia boliviana,Zamia boliviana,Plants,South America
Zanthoxylum flavum,Zanthoxylum flavum,Plants,"Central America, North America, Oceanic, South America"
Zeyheria tuberculosa,Zeyheria tuberculosa,Plants,Brazil
Zilchogyra paulistana,Zilchogyra paulistana,Snails,Brazil
