,id,viewCount,likeCount,dislikeCount,commentCount,publishedAt,title,channelTitle,publishTime
0,EeqULf850Jw,2851,139,1,12,2016-03-04T17:00:00Z,Review: Harry Potter and The Prisoner of Azkaban by J.K. Rowling,climbthestacks,2016-03-04T17:00:00Z
1,G48t_IjD6sg,60504,2309,38,421,2016-03-08T20:41:13Z,HARRY POTTER AND THE PRISONER OF AZKABAN BY JK ROWLING | booktalk wtih XTINEMAY,polandbananasBOOKS,2016-03-08T20:41:13Z
2,U-I0AV8NB4Y,3462,26,3,3,2016-03-25T16:25:19Z,Even J.K. Rowling Was Rejected By Publishers After Harry Potter - Newsy,Newsy Entertainment,2016-03-25T16:25:19Z
3,R37UZsiWvCk,18654,336,11,90,2016-04-03T00:33:24Z,"Harry Potter and the Philosopher&#39;s Stone, HARDCOVER, First Printing, HOLY GRAIL, J.K. Rowling",The Potter Collector,2016-04-03T00:33:24Z
4,ESDpjreNXwk,6044,23,6,13,2016-04-05T09:02:28Z,"Chair J.K.Rowling used when writing Harry Potter auctioned at $65,000",On Demand News,2016-04-05T09:02:28Z
5,Mvv-rXh2GnI,503,2,15,4,2016-04-06T03:39:28Z,USA: JK Rowling&#39;s Harry Potter writing chair goes up for auction in NYC,Ruptly,2016-04-06T03:39:28Z
6,KsZABWXVcP4,605,1,0,0,2016-04-07T13:32:08Z,The Chair J.K. Rowling Sat In To Write &#39;Harry Potter&#39; Sells For $394K - Newsy,Newsy Entertainment,2016-04-07T13:32:08Z
7,ZPF6dKVcxvQ,17542,159,4,12,2016-04-15T14:52:39Z,Top 5 J.K. Rowling Books (aka Robert Galbraith),Writer's Relief,2016-04-15T14:52:39Z
8,Czevn5-jWvU,149379,835,8,101,2016-04-22T15:59:50Z,J.K. Rowling Takes Fans Inside The Harry Potter And The Cursed Child Rehearsal Room,Harry Potter and the Cursed Child,2016-04-22T15:59:50Z
9,-u6WQ2DUrKY,48294,779,23,193,2016-04-22T21:35:06Z,Harry Potter Books | Ranked,Potterbase,2016-04-22T21:35:06Z
10,ddG3IvAfiRU,35292,1914,30,266,2016-05-12T16:00:02Z,HARRY POTTER DE JK ROWLING - MISS BOOK,Miss Book,2016-05-12T16:00:02Z
11,LJ1wtQBgoEA,31466,404,35,229,2016-06-06T12:10:07Z,Least to Most Favorite Harry Potter Books!,The Bookish Babbler,2016-06-06T12:10:07Z
12,FNZuFXZFxcY,3851,24,0,2,2016-06-09T13:40:51Z,JK Rowling&#39;s  ‘Harry Potter and the Cursed Child’ is previewed in London,CGTN,2016-06-09T13:40:51Z
13,3xbAje_ph_E,72667,371,41,144,2016-06-12T16:45:45Z,JK Rowling on Harry Potter and the Cursed Child - BBC News,Potter News Russia,2016-06-12T16:45:45Z
14,WLSvInKnLuU,915,5,0,0,2016-07-21T17:51:08Z,JK ROWLING BOOK TOUR,CNN,2016-07-21T17:51:08Z
15,BypBz1Di270,31503,3383,22,144,2016-07-29T14:00:00Z,"HARRY POTTER, J. K ROWLING - SÉRIE COMPLETA (#82-88)",Ler Antes de Morrer,2016-07-29T14:00:00Z
16,w_FkXoZBhj0,217981,6543,535,1771,2016-08-01T19:47:56Z,HARRY POTTER AND THE CURSED CHILD BY JK ROWLING &amp; JACK THORNE | booktalk with XTINEMAY,polandbananasBOOKS,2016-08-01T19:47:56Z
17,dDLW58dKR40,61651,2540,63,603,2016-08-08T23:03:45Z,HARRY POTTER AND THE CURSED CHILD BY JK ROWLING &amp; JACK THORNE,jessethereader,2016-08-08T23:03:45Z
18,qzZ2Trm_Tik,573,2,3,0,2016-08-17T19:38:19Z,J.K. Rowling to release 3 &#39;Harry Potter&#39; stories,Newsy,2016-08-17T19:38:19Z
19,erTEakVp5M8,1909,13,0,3,2016-08-18T09:00:34Z,J.K. Rowling releases new &#39;Harry Potter&#39; e-books,Hindustan Times,2016-08-18T09:00:34Z
20,3v4MKygfmKU,4270,39,2,13,2016-08-18T11:11:30Z,More Harry Potter books to come,CNBC International,2016-08-18T11:11:30Z
21,H5prh7BsgA8,655,4,1,1,2016-08-18T14:28:01Z,More Harry Potter Books Coming As Short Stories | CNBC,CNBC,2016-08-18T14:28:01Z
22,Cufbbg-rpH8,461,4,0,,2016-08-18T15:50:41Z,Three new Harry Potter E-books by J.K Rowling are on the way!,Fun Kids,2016-08-18T15:50:41Z
23,mRY_UjWNii4,5412,74,3,14,2016-08-18T17:42:40Z,3 new Harry Potter books announced,CNN,2016-08-18T17:42:40Z
24,UBSS1Zxakas,193,0,0,0,2016-08-21T00:57:37Z,JK Rowling Luncurkan &quot;E-Book&quot; Harry Potter,KOMPASTV,2016-08-21T00:57:37Z
25,wAwUEtsAgN4,127,11,0,,2016-08-23T01:43:12Z,"Valentina reviews the Harry Potter book series, by J.K. Rowling",Book Reviews with Valentina,2016-08-23T01:43:12Z
26,Tb7GKZGmIRE,630317,15967,105,880,2016-08-26T16:00:02Z,Harry Potter Cast Says Goodbye | Wizarding World,Wizarding World,2016-08-26T16:00:02Z
27,jpaMMoxq4fM,21456,218,23,203,2016-08-28T18:26:46Z,Book Critics discuss The Harry Potter Series (2000),Manufacturing Intellect,2016-08-28T18:26:46Z
28,bDOs5JzLnLk,93764,1104,47,101,2016-09-16T21:17:22Z,J.K. Rowling on Her Goodbye to Harry Potter: &quot;It Was a Bereavement&quot; | The Oprah Winfrey Show | OWN,OWN,2016-09-16T21:17:22Z
29,UdbOhvjIJxI,2689266,67834,1973,5351,2016-10-18T12:53:58Z,Harry Potter and the translator&#39;s nightmare,Vox,2016-10-18T12:53:58Z
30,_hpwjxxB1A8,7992,372,6,46,2016-11-02T00:12:28Z,Harry Potter and the Cursed Child by JK Rowling,BonerBookClub,2016-11-02T00:12:28Z
31,L1KaIbcwL_M,6274,91,1,1,2016-11-06T23:47:14Z,Fantastic Beasts and Where To Find Them Interview - J.K. Rowling,Flicks And The City Clips,2016-11-06T23:47:14Z
32,ejfFLsy-aFw,1051538,3900,539,333,2016-11-13T01:50:41Z,If Harry Potter characters were LEGO minidolls 1,Brickomotion,2016-11-13T01:50:41Z
33,ElpdKxnyZS8,1028,12,3,0,2016-11-14T15:25:53Z,You Could Own A Handwritten &#39;Harry Potter&#39; Book,b/60,2016-11-14T15:25:53Z
34,iC9h1IuLP1E,2299364,49700,455,2755,2016-11-16T16:03:41Z,Harry Potter &amp; Fantastic Beasts: The Secret Of The Wizarding World | Documentary from BBC Radio 1,BBC Radio 1,2016-11-16T16:03:41Z
35,uYfIoTX7hKY,12904,693,2,41,2016-11-18T17:06:31Z,Magical Quotes from Harry Potter by J.K. Rowling,Epic Reads,2016-11-18T17:06:31Z
36,asTbXNMrEqg,4268,106,76,74,2016-11-24T20:36:17Z,JK Rowling sends Harry Potter ebooks to Syria,CNN,2016-11-24T20:36:17Z
37,0aBO0pXf62w,1698,31,11,22,2016-11-24T22:20:39Z,JK Rowling sends Harry Potter books to young girl in Aleppo,On Demand News,2016-11-24T22:20:39Z
38,Ij97LWo0I7s,126608,1994,28,174,2016-11-27T17:21:36Z,"J. K. Rowling - A Year in the Life (ITV, 2007) - HD",James,2016-11-27T17:21:36Z
39,RspemJN9Qng,9629,131,1,12,2016-12-22T21:38:35Z,Wizarding World Movie Magic Vol. 1 Book Flip-thru | Harry Potter,That Geekish Family,2016-12-22T21:38:35Z
40,ouxbK160HZo,10628,167,4,9,2017-01-05T00:32:53Z,Harry Potter and the Sorcerer&#39;s Stone In One Minute | Harry Potter Explained,Harry Potter Explained,2017-01-05T00:32:53Z
41,odcSxFPXBCU,12625,129,25,82,2017-02-01T20:00:03Z,J.K. Rowling Responds To Fans Burning &#39;Harry Potter&#39; Books | News Flash | Entertainment Weekly,Entertainment Weekly,2017-02-01T20:00:03Z
42,Oqvatb5HWDg,27946,171,2,43,2017-02-03T12:59:45Z,Hogwarts House Editions of J.K. Rowling’s Harry Potter and the Philosopher’s Stone,Bloomsbury Publishing,2017-02-03T12:59:45Z
43,PKMTBHWDCj4,67267,953,145,150,2017-02-04T15:00:01Z,Top 10 Amazing J.K. ROWLING and HARRY POTTER Facts,Top 10 Archive,2017-02-04T15:00:01Z
44,zBl1OD-NZ5M,22268,435,48,194,2017-02-06T15:12:51Z,J.K. Rowling roasts fans threatening to burn Harry Potter books,Business Insider,2017-02-06T15:12:51Z
45,xEfDFwziUZk,34458,519,7,39,2017-02-09T13:00:08Z,J. K. Rowling - Creator of The Harry Potter,Stardom,2017-02-09T13:00:08Z
46,Y7p8rMPmm6w,2955928,33124,1002,2764,2017-02-21T20:59:53Z,Emma Watson Burst Into Tears When She First Saw Hermione In &#39;Cursed Child&#39; | Entertainment Weekly,Entertainment Weekly,2017-02-21T20:59:53Z
47,c9k0FgBCmiM,90297,923,34,61,2017-03-12T13:22:19Z,JK Rowling Biography and Life Story | Author of Harry Potter Series,Bookish Maniac,2017-03-12T13:22:19Z
48,IwxkNSh1jBY,532062,10925,328,1191,2017-03-16T16:09:53Z,&#39;Harry Potter&#39; superfan gets J.K. Rowling tattoo,Yahoo,2017-03-16T16:09:53Z
49,0Nw_J8SFnOQ,911830,17577,376,1055,2017-03-30T22:31:05Z,J. K. Rowling story,rohit kumar,2017-03-30T22:31:05Z
