,id,viewCount,likeCount,dislikeCount,commentCount,publishedAt,title,channelTitle
0,ddG3IvAfiRU,35292,1914,30,266,2016-05-12T16:00:02.000Z,HARRY POTTER DE JK ROWLING - MISS BOOK,Miss Book
1,7zHT4nNLcs8,277,8,0,3,2016-06-03T02:21:12.000Z,Harry Potter and the Sorcerer&#39;s Stone by J. K. Rowling: A Summary,LongHairedFreakyDude
2,3xbAje_ph_E,72667,371,41,144,2016-06-12T16:45:45.000Z,JK Rowling on Harry Potter and the Cursed Child - BBC News,Potter News Russia
3,99z5oAUQcKI,818062,14177,761,2712,2016-07-04T16:05:06.000Z,"Harry Potter and the Philosopher&#39;s Stone, Lost in Adaptation ~ The Dom",Dominic Noble
4,HleiC6CwARI,2647,24,3,,2016-07-05T23:07:54.000Z,J.K. Rowling brings magic to the theater with a new Harry Potter play,PBS NewsHour
5,hEDeZfzm7a4,2251,23,6,4,2016-07-27T13:28:52.000Z,Overrated or Underrated: J.K. Rowling | Michael Orthofer | CWT Shorts,Mercatus Center
6,sqwyq1bwZnQ,4534,237,2,32,2016-08-01T05:01:26.000Z,HARRY POTTER &amp; THE CURSED CHILD VLOG &amp; INITIAL THOUGHTS,Aprilius Maximus
7,w_FkXoZBhj0,217981,6543,535,1771,2016-08-01T19:47:56.000Z,HARRY POTTER AND THE CURSED CHILD BY JK ROWLING &amp; JACK THORNE | booktalk with XTINEMAY,polandbananasBOOKS
8,E3M6NbyTK_0,7270,220,5,41,2016-08-01T22:40:05.000Z,J.K. Rowling Confirms Harry Potter&#39;s Story &#39;Is Done Now&#39; - IGN News,IGN News
9,R0Oe057lViM,13749,313,10,73,2016-08-01T23:00:01.000Z,J.K. Rowling Says Harry Potter’s Story Is Over,Collider Videos
10,6V3V2EGLkpU,55592,1101,51,283,2016-08-01T23:30:01.000Z,J.K. Rowling Confirms Harry Potter&#39;s Story &#39;Is Done Now&#39; - IGN News,IGN
11,rNTA84vYkqw,183,3,0,0,2016-08-02T10:47:24.000Z,Harry Potter Book Launch Part 2,Expresso Show
12,xMrBbJspkKo,87,4,0,4,2016-08-04T17:56:28.000Z,BOOK REVIEW: Harry Potter and the Cursed Child by J.K. Rowling,Masie Inman
13,bxbctG1MRL8,5365,21,4,22,2016-08-05T14:19:26.000Z,Harry Potter and the Philosopher&#39;s Stone - Review,WordsAndOtherGoodIdeas
14,PDX3w0ld8Cg,1891,49,1,41,2016-08-07T00:13:15.000Z,Harry Potter and the Cursed Child by J.K. Rowling | Review &amp; Discussion,April Sarah
15,GRoCMgEYrlE,637,19,1,6,2016-08-12T10:17:50.000Z,Harry Potter and the Cursed Child by J.K. Rowling | Book Review | Script Review,Travelling Weasels
16,0It2IPfZX9Y,5994,171,4,24,2016-08-18T00:00:00.000Z,Harry Potter eBooks to Feature New Stories from J.K. Rowling | Collider News,Collider Videos
17,1-LMVSCQBI8,2309864,22509,806,5417,2016-08-20T09:33:54.000Z,8 Harry Potter Moments That Are So Much Better In The Books,WhatCulture
18,UBSS1Zxakas,193,0,0,0,2016-08-21T00:57:37.000Z,JK Rowling Luncurkan &quot;E-Book&quot; Harry Potter,KOMPASTV
19,jpaMMoxq4fM,21456,218,23,203,2016-08-28T18:26:46.000Z,Book Critics discuss The Harry Potter Series (2000),Manufacturing Intellect
20,7UYyeDpipyA,15312,389,13,90,2016-08-30T09:51:40.000Z,Harry Potter and the Cursed Child - Book Club special!,Simon Clark
