,Name
1286,The Executioner
1287,The Fallen
1288,The Fury
1289,The Hand
1290,The Hood
1291,The Howling Commandos
1292,The Hunter
1293,The Initiative
1294,The Leader (HAS)
1295,The Liberteens
1296,The Liberty Legion
1297,The Order
1298,The Phantom
1299,The Professor
1300,The Renegades
1301,The Santerians
1302,The Shiver Man
1303,The Spike
1304,The Stranger
1305,The Twelve
1306,The Watchers
1307,Thena
1308,Thing
1309,Thing (Marvel Heroes)
1310,Thing (Ultimate)
1311,Thor
1312,Thor (Goddess of Thunder)
1313,Thor (MAA)
1314,Thor (Marvel Heroes)
1315,Thor (Marvel War of Heroes)
1316,Thor (Marvel: Avengers Alliance)
1317,Thor (Ultimate)
1318,Thor Girl
1319,Thunderball
1320,Thunderbird (John Proudstar)
1321,Thunderbird (Neal Shaara)
1322,Thunderbolt (Bill Carver)
1323,Thunderbolt Ross
1324,Thunderbolts
1325,Thundra
1326,Tiger Shark
1327,Tiger's Beautiful Daughter
1328,Tigra (Greer Nelson)
1329,Timeslip
1330,Tinkerer
1331,Tippy Toe
1332,Titania
1333,Titanium Man (Topolov)
1334,Toad
1335,Toad Men
1336,Tomas
1337,Tombstone
1338,Tomorrow Man
1339,Tony Stark
1340,Toro (Thomas Raymond)
1341,Toxin
1342,Toxin (Eddie Brock)
1343,Trauma
1344,Triathlon
1345,Trish Tilby
1346,Triton
1347,True Believers
1348,Turbo
1349,Tusk
1350,Two-Gun Kid
1351,Tyger Tiger
1352,Typhoid Mary
1353,Tyrannus
1354,U-Foes
1355,U-Go Girl
1356,U.S. Agent
1357,Uatu The Watcher
1358,Ulik
1359,Ultimate Spider-Man (USM)
1360,Ultimates
1361,Ultimatum
1362,Ultimo
1363,Ultra-Adaptoid
1364,Ultragirl (Earth-93060)
1365,Ultron
1366,Umar
1367,Unicorn
1368,Union Jack (Brian Falsworth)
1369,Union Jack (Joseph Chapman)
1370,Union Jack (Montgomery Falsworth)
1371,Unus
1372,Unus (Age of Apocalypse)
1373,Unus (House of M)
1374,Unus (Ultimate)
1375,Valeria Richards
1376,Valkyrie (Samantha Parrington)
1377,Valkyrie (Ultimate)
1378,Vampiro
1379,Vance Astro
1380,Vanisher (Age of Apocalypse)
1381,Vanisher (Telford Porter)
1382,Vanisher (Ultimate)
1383,Vapor
1384,Vargas
1385,Vector
1386,Veda
1387,Vengeance (Michael Badilino)
1388,Venom (Flash Thompson)
1389,Venom (Mac Gargan)
1390,Venom (Ultimate)
1391,Venus (Siren)
1392,Venus Dee Milo
1393,Vermin (Edward Whelan)
1394,Vertigo (Savage Land Mutate)
1395,Victor Mancha
1396,Victor Von Doom
1397,Vin Gonzales
1398,Vindicator
1399,Violations
1400,Viper
1401,Virginia Dare
1402,Vision
1403,Vivisector
1404,Vulcan (Gabriel Summers)
1405,Vulture (Adrian Toomes)
1406,Vulture (Blackie Drago)
1407,Wallflower
1408,Wallop
1409,Wallow
1410,War (Abraham Kieros)
1411,War Machine (Iron Man 3 - The Official Game)
1412,War Machine (Marvel: Avengers Alliance)
1413,War Machine (Parnell Jacobs)
1414,War Machine (Ultimate)
1415,Warbird
1416,Warbound
1417,Warhawk (Mitchell Tanner)
1418,Warlock (Janie Chin)
1419,Warlock (Technarchy)
1420,Warpath
1421,Warren Worthington III
1422,Warstar
1423,Wasp
1424,Wasp (Ultimate)
1425,Weapon Omega
1426,Weapon X
1427,Wendell Rand
1428,Wendell Vaughn
1429,Wendigo
1430,Werewolf By Night
1431,Whiplash (Mark Scarlotti)
1432,Whirlwind
1433,Whistler
1434,White Queen (Adrienne Frost)
1435,White Tiger (Angela Del Toro)
1436,White Tiger (USM)
1437,Whizzer (Stanley Stewart)
1438,Wiccan
1439,Wild Child
1440,Wild Child (Age of Apocalypse)
1441,Wild Pack
1442,Wildside
1443,William Stryker
1444,Wilson Fisk
1445,Wind Dancer
1446,Winter Soldier
1447,Wither
1448,Wolf Cub
1449,Wolfpack
1450,Wolfsbane
1451,Wolfsbane (Age of Apocalypse)
1452,Wolver-dok
1453,Wolverine
1454,Wolverine (LEGO Marvel Super Heroes)
1455,Wolverine (Marvel War of Heroes)
1456,Wolverine (Ultimate)
1457,Wolverine (X-Men: Battle of the Atom)
1458,Wonder Man
1459,Wong
1460,Wong (Ultimate)
1461,Wraith
1462,Wrecker
1463,Wrecking Crew
1464,X-23
1465,X-51
1466,X-Babies
1467,X-Cutioner
1468,X-Factor
1469,X-Factor Investigations
1470,X-Force
1471,X-Man
1472,X-Men
1473,X-Men (Ultimate)
1474,X-Ray (James Darnell)
1475,X-Statix
1476,X.S.E.
1477,Xavin
1478,Xorn (Kuan-Yin Xorn)
1479,Yellow Claw
1480,Yellowjacket (Rita DeMara)
1481,Young Avengers
1482,Young X-Men
1483,Zaladane
1484,Zaran
1485,Zarda
1486,Zarek
1487,Zeigeist
1488,Zemo
1489,Zodiak
1490,Zombie (Simon Garth)
1491,Zuras
1492,Zzzax
