,Name
342,Dragon Lord
343,Dragon Man
344,Drax
345,Dreadnoughts
346,Dreaming Celestial
347,Druig
348,Dum Dum Dugan
349,Dust
350,Earthquake
351,Echo
352,Eddie Brock
353,Eddie Lau
354,"Edward ""Ted"" Forrester"
355,Edwin Jarvis
356,Ego
357,Electro
358,Electro (Ultimate)
359,Elektra
360,Elektra (Ultimate)
361,Elements of Doom
362,Elite
363,Elixir
364,Elloe Kaifi
365,Elsa Bloodstone
366,Emma Frost
367,Empath
368,Emplate
369,Enchantress (Amora)
370,Enchantress (Sylvie Lushton)
371,Ender Wiggin
372,Energizer
373,Epoch
374,Erik the Red
375,Eternals
376,Eternity
377,Excalibur
378,Exiles
379,Exodus
380,Expediter
381,Ezekiel
382,Ezekiel Stane
383,Fabian Cortez
384,Falcon
385,Falcon/Sam Wilson (MAA)
386,Fallen One
387,Famine
388,Fantastic Four
389,Fantastic Four (Ultimate)
390,Fantastick Four
391,Fantomex
392,Fat Cobra
393,Felicia Hardy
394,Fenris
395,Feral
396,Fin Fang Foom
397,Firebird
398,Firebrand
399,Firedrake
400,Firelord
401,Firestar
402,Firestar (Ultimate)
403,Fixer (Paul Norbert Ebersol)
404,Flatman
405,Flying Dutchman
406,Foggy Nelson
407,Force Works
408,Forearm
409,Forge
410,Forge (Ultimate)
411,Forgotten One
412,Frank Castle
413,Frankenstein's Monster
414,Franklin Richards
415,Franklin Storm
416,Freak
417,Frightful Four
418,Frog Thor
419,Frog-Man
420,Gabe Jones
421,Galactus
422,Galia
423,Gambit
424,Gamma Corps
425,Gamora
426,Gamora (Marvel War of Heroes)
427,Gargoyle
428,Gargoyle (Yuri Topolov)
429,Garia
430,Garrison Kane
431,Gateway
432,Gauntlet (Joseph Green)
433,Geiger
434,Gene Sailors
435,Generation X
436,Genesis
437,Genis-Vell
438,George Stacy (Ultimate)
439,Gertrude Yorkes
440,Ghost Rider (Daniel Ketch)
441,Ghost Rider (Johnny Blaze)
442,Ghost Rider (Marvel War of Heroes)
443,Giant Girl
444,Giant Man
445,Giant-dok
446,Giant-Man (Ultimate)
447,Gideon
448,Git Hoskins
449,Gladiator (Kallark)
450,Gladiator (Melvin Potter)
451,Glenn Talbot
452,Glorian
453,Goblin Queen
454,Golden Guardian
455,Goliath (Bill Foster)
456,Gorgon
457,Gorilla Man
458,Grandmaster
459,Gravity
460,Great Lakes Avengers
461,Green Goblin (Barry Norman Osborn)
462,Green Goblin (Harry Osborn)
463,Green Goblin (Ultimate)
464,Gressill
465,Grey Gargoyle
466,Greymalkin
467,Grim Reaper
468,Groot
469,Guardian
470,Guardians of the Galaxy
471,Guardsmen
472,Gunslinger
473,GW Bridge
474,Gwen Stacy
475,Gwen Stacy (Ultimate)
476,H.A.M.M.E.R.
477,H.E.R.B.I.E.
478,Hairball
479,Half-Life (Tony Masterson)
480,Hammerhead
481,Hammerhead (Ultimate)
482,Hank Pym
483,Hannibal King
484,Happy Hogan
485,Hardball
486,Harley Davidson Cooper
487,Harpoon
488,Harrier
489,Harry Heck
490,Harry Osborn
491,Harry Osborn (Ultimate)
492,Hate-Monger (Adolf Hitler)
493,Havok
494,Hawkeye
495,Hawkeye (Kate Bishop)
496,Hawkeye (Marvel Heroes)
497,Hawkeye (Ultimate)
498,Hawkeye/Clint Barton (MAA)
499,Hedge Knight
500,Hellcat (Patsy Walker)
501,Hellfire Club
502,Hellfire Club (Ultimate)
503,Hellion
504,Hellions (Squad)
505,Hemingway
506,Henry Peter Gyrich
507,Hepzibah
508,Hercules
509,Heroes For Hire
510,Hex
511,High Evolutionary
512,Hindsight Lad
513,Hiroim
514,Hitman
515,Hitomi Sakuma
516,Hobgoblin (Jason Macendale)
517,Hobgoblin (Robin Borne)
518,Hobgoblin (Roderick Kingsley)
519,Holocaust (Age of Apocalypse)
520,Holy
521,Hope Summers
522,Howard Saint
523,Howard The Duck
524,Hulk
525,Hulk (HAS)
526,Hulk (LEGO Marvel Super Heroes)
527,Hulk (Marvel Zombies)
528,Hulk (Marvel: Avengers Alliance)
529,Hulk (Ultimate)
530,Hulk-dok
531,Hulk/Bruce Banner (MAA)
532,Hulkling
533,Human Cannonball
534,Human Fly (Richard Deacon)
535,Human Robot
536,Human Torch
537,Human Torch (Jim Hammond)
538,Human Torch (Ultimate)
539,Humbug
540,Husk
541,Hussar
542,Hydra
543,Hydro-Man
544,Hyperion (Earth-712)
545,Hypno-Hustler
546,Iceman
547,Iceman (Ultimate)
548,Iceman (X-Men: Battle of the Atom)
549,Ikaris
550,Illuminati
551,Ilyana Rasputin
552,Imp
553,Imperfects
554,Imperial Guard
555,Impossible Man
556,In-Betweener
557,Inertia
558,Infant Terrible
559,Inhumans
560,Ink
561,Invaders
562,Invisible Woman
563,Invisible Woman (Marvel: Avengers Alliance)
564,Invisible Woman (Ultimate)
565,Iron Cross Army
566,Iron Fist (Bei Bang-Wen)
567,Iron Fist (Danny Rand)
568,Iron Fist (Orson Randall)
569,Iron Fist (Quan Yaozu)
570,Iron Fist (USM)
571,Iron Fist (Wu Ao-Shi)
572,Iron Lad
573,Iron Man
574,Iron Man (Iron Man 3 - The Official Game)
575,Iron Man (LEGO Marvel Super Heroes)
576,Iron Man (Marvel Heroes)
577,Iron Man (Marvel War of Heroes)
578,Iron Man (Ultimate)
579,Iron Man/Tony Stark (MAA)
580,Iron Monger
581,Iron Patriot
582,Iron Patriot (James Rhodes)
583,Ironclad
584,J. Jonah Jameson
585,Jack Flag
586,Jack Murdock
587,Jack O' Lantern
588,Jack Power
589,Jackal
590,Jackpot
591,James Buchanan Barnes
592,James Howlett
593,Jamie Braddock
594,Jane Foster
595,"Janus, the Nega-Man"
596,Jasper Sitwell
597,Jazinda
598,Jean Grey
599,Jean Grey
600,Jean Grey (Ultimate)
601,Jennifer Smith
602,Jeryn Hogarth
603,Jessica Drew
604,Jessica Jones
605,Jetstream
606,Jigsaw
607,Jimmy Woo
608,Joan the Mouse
609,Jocasta
610,John Farson
611,John Jameson
612,John Porter
613,John Wraith
614,Johnny Blaze
615,Johnny Storm
616,Joseph
617,Joshua Kane
618,Josiah X
619,Joystick
620,Jubilee
621,Jubilee (Age of Apocalypse)
622,Juggernaut
623,Jule Carpenter
624,Julian Keller
625,Junta
626,Justice
627,Justin Hammer
628,Ka-Zar
629,Kabuki
630,Kang
631,Karen O'Malley
632,Karen Page
633,Karma
634,Karnak
635,Karolina Dean 
636,Kat Farrell
637,Kate Bishop
638,Katie Power
639,Ken Ellis
640,Khan
641,Kid Colt
642,Killer Shrike
643,Killmonger
644,Killraven
645,King Bedlam
646,King Cobra
647,Kingpin
648,Kinsey Walden
649,Kitty Pryde
650,Kitty Pryde (X-Men: Battle of the Atom)
651,Klaw
652,Komodo (Melati Kusuma)
653,Korath
654,Korg
655,Korvac
