,id,viewCount,likeCount,dislikeCount,commentCount,publishedAt,title,channelTitle
0,M-gODrKTW-4,866637,7319,175,1204,2009-04-02T13:03:44.000Z,A Hogwarts non si puffa,willwoosh
1,-Rhx9jKS4aY,4141,18,2,89,2009-04-03T04:06:15.000Z,Harry Potter Dating Game (For Girls),botheringsnape1313
2,TuqXH_y18wk,6684,76,4,18,2009-04-08T05:46:19.000Z,Don&#39;t Trust Me- Harry Potter,ConcernedAmerican
3,2gOHYRGqA78,330219,3242,47,250,2009-04-08T23:11:22.000Z,Escena eliminada del prisionero de Azkaban,Telemacus Raden
4,DBFRSer4Hm8,133185,3491,72,810,2009-04-09T19:13:23.000Z,47 MORE Ways to Annoy Harry Potter Haters!!,HPottergirl721
5,yj70-l9P40w,50762,311,9,60,2009-04-09T20:54:42.000Z,VAYA SEMANITA: Harry Potter y la LOE,Alberto Castro
6,eAyO9TKbcjo,8377,75,1,18,2009-04-09T22:53:18.000Z,I&#39;ll Be (Remus/Lily) [Harry Potter],MissRJLupin
7,xhRphJ-UnCc,167933,743,31,252,2009-04-11T13:08:37.000Z,Harry Potter and the Half Blood Prince - Rupert Grint Interview!,XxElderWandOwnerxX
8,tmyoZdbZGxo,16965,118,0,4,2009-04-11T21:47:38.000Z,Harry Potter 1 Escena Editada_3,craufor
9,HctXZibbclw,39559,267,13,117,2009-04-13T06:54:06.000Z,Harry Potter 2 CD Key,Jack Mooney
10,0dgRA30PME0,215154,1554,21,254,2009-04-13T07:27:29.000Z,Disturbia | Harry Potter&#39;s Villains,Weird Girl Vintage
11,GI4NvFzeC8o,13298107,79338,2540,16514,2009-04-13T14:49:52.000Z,Potter Puppet Pals: Ron&#39;s Disease,Neil Cicierega
12,tBw-277vXfc,154726,818,90,1054,2009-04-15T01:44:11.000Z,Twilight girls Vs Harry Potter girls,xEmmaCharlotteWatson
13,lplLmP5QO0E,6519,93,4,8,2009-04-15T12:43:55.000Z,Harry Potter - Ghostbusters,hukon13
14,nAQBzjE-kvI,2306450,23421,366,1806,2009-04-16T21:05:47.000Z,Harry Potter Magic Spell - Wingardium Leviosa,MarkArcana
15,rqKsxs7nNMM,44734,58,4,23,2009-04-17T07:49:25.000Z,Harry Potter and the Half Blood Prince - trailer released,On Demand Entertainment
16,VhTAuEJ2Coc,177,2,1,0,2009-04-17T15:19:48.000Z,The buzz: Harry Potter movie,CNN
17,TQz1NovD0eo,41308,68,8,28,2009-04-17T18:26:46.000Z,Cool Harry Potter and the Half-Blood Prince Full Length movie Trailer,EriCKson Dlc
18,rl1dY8HBTW8,81933,394,21,436,2009-04-18T03:36:37.000Z,New Harry Potter and the Half-Blood Prince Movie Trailer,ClevverTV
19,g0-WTB8GWkg,597115,1110,61,623,2009-04-18T11:11:34.000Z,Harry Potter and the Prisoner Of Azkaban PS2 Walkthrough Part 1,ZeppelinG1993
20,ApoAzufKoXI,121255,512,15,91,2009-04-18T16:39:43.000Z,Harry Potter Melez Prens Fragman 6 Türkçe Altyazı,Tugay Gökdeniz
21,Z1nzH6ijmh4,13901,66,1,14,2009-04-18T16:54:35.000Z,Harry Potter y El Misterio del Principe - Trailer Final (Subtitulado y en HD),erickrestrepo
22,MbwRVBBHv7M,7854,33,2,5,2009-04-18T18:31:12.000Z,Harry Potter 6 - Opening,ALBARADELWHO Entertainment
23,4tuymnhIm10,298858,635,15,47,2009-04-19T09:12:56.000Z,Harry Potter Symphonic Suite / 交響組曲「ハリー・ポッター」,machiroh
24,F3MJ6JKzQ74,10160,55,8,0,2009-04-20T16:01:05.000Z,Harry Potter and the Half-Blood Prince Trailer,Warner Bros NL
25,fY4DPeBbUbQ,604639,1796,57,348,2009-04-20T22:05:00.000Z,Harry Potter and the Half-Blood Prince (All 5 Trailers) (HD) *** over 9 minutes ***,ollivandershop
26,2IOUm6vQycE,21703,237,14,92,2009-04-20T23:39:15.000Z,IGN Rewind Theater: Harry Potter and the Half-Blood Princ...,IGN
27,9tFKT1gaBzo,25059,82,1,25,2009-04-21T03:56:14.000Z,"Harry Potter y las Reliquias de la Muerte, Sub español parte20",hostel520
28,HXH3ynp6Ilc,9514,23,0,1,2009-04-21T13:42:16.000Z,Harry Potter And The Half-Blood Prince l Official Trailer #4,harrypottertrailer
29,LxwR6-1kb-Y,117383,910,11,31,2009-04-21T14:22:46.000Z,Harry Potter e il Principe Mezzosangue Trailer Italiano,HarryPotterItalia
30,SBjUwA4GH2c,121286,1294,16,25,2009-04-22T06:09:45.000Z,Viva la Vida- Harry Potter Tribute,Karen G
31,SoHj7VbqQhE,6364,12,0,1,2009-04-22T13:53:23.000Z,Harry Potter en Londres,Revista Qué Me Dices!
32,Dy0e688E-TM,47102,49,8,14,2009-04-22T14:37:42.000Z,Harry Potter: continúa el rodaje de la última entrega,Fotogramas
33,A4EMJCPXeTs,8776,67,0,25,2009-04-22T18:39:57.000Z,Gives You Hell - Harry Potter,Rebecca
34,TKHekYMUEZ4,2598,41,0,2,2009-04-22T20:30:06.000Z,Keep Holding On- Harry Potter,Karen G
35,Vw3HBxonHVw,942442,10566,404,1213,2009-04-24T15:35:22.000Z,Harry Potter and the Outcasts of Hogwarts: The Joke,PistolShrimps
36,_G16VGNL73k,273712,961,23,68,2009-04-24T16:12:17.000Z,Harry Potter e Il Principe Mezzosangue - Terzo Trailer ufficiale,Warner Bros. Italia
37,BEFZ-6G0wNk,222516,431,16,147,2009-04-26T15:57:47.000Z,Harry Potter and the Prisoner Of Azkaban PS2 Walkthrough Part 2,ZeppelinG1993
