,id,viewCount,likeCount,dislikeCount,commentCount,publishedAt,title,channelTitle,publishTime
38,hEallTlRmeU,72974,235,0,12,2012-02-18T22:59:21Z,Harry Potter and the Half-Blood Prince Soundtrack - 27. The Friends,jediking12,2012-02-18T22:59:21Z
39,0TSkaDTLHZE,346896,3562,34,39,2012-02-20T06:28:50Z,Actores divirtiéndose en el Set de Harry Potter(subtitulo en español),Vengadores Unidos,2012-02-20T06:28:50Z
40,AZ6xgJ-UYFs,180440,3498,39,159,2012-02-21T20:22:07Z,orquesta de harry potter,Esteban Giustina,2012-02-21T20:22:07Z
41,LHVZUo5DL7c,117702,600,22,21,2012-02-22T17:21:39Z,Harry Potter y la piedra filosofal 2001 11/11,PeliculasYou,2012-02-22T17:21:39Z
42,PGhb7P45Nmg,23710,386,1,33,2012-02-22T20:03:57Z,Harry Potter y un tributo a su magia,Pablomatiacba,2012-02-22T20:03:57Z
43,vI97o3eqI-E,3359201,59633,618,4770,2012-02-23T14:38:33Z,Harry Potter and the Best Picture Summary,How It Should Have Ended,2012-02-23T14:38:33Z
44,gUZh0doojgM,31108,490,6,120,2012-02-24T18:16:49Z,Harry Potter Dub - The Hogwarts Dinner Parties,Gertilish,2012-02-24T18:16:49Z
45,1qxn3kmsNqw,61548,599,8,161,2012-02-25T12:13:16Z,Harry Potter-The Plagues,A.A.A.,2012-02-25T12:13:16Z
46,B5c1R_qF0pY,18526,121,13,13,2012-02-25T14:12:11Z,les horcruxes dans harry potter,valentinodu46,2012-02-25T14:12:11Z
47,v5UeGE-DSXc,18172,821,11,138,2012-02-26T02:15:55Z,The Hunger Games (Harry Potter Style) (AU),Beautifullytragic6,2012-02-26T02:15:55Z
48,Av439mVz8so,31718,291,24,99,2012-02-28T23:41:28Z,Harry Potter: La Piedra Filosofal│por TulioX│Parte Final,TulioX,2012-02-28T23:41:28Z
49,phNerWw_VW0,233320,2555,122,83,2012-02-29T20:41:52Z,Harry Potter Theme Tune &quot;Beginners Guitar Lesson&quot;,The Guitar Club,2012-02-29T20:41:52Z
