,index,date,total_cases,stock
0,2014,2019-12-31,27,3041.094482421875
1,2015,2020-01-01,27,
2,2016,2020-01-02,27,3082.218017578125
3,2017,2020-01-03,44,3084.1685791015625
4,2018,2020-01-04,44,
5,2019,2020-01-05,59,
6,2020,2020-01-06,59,3086.2559814453125
7,2021,2020-01-07,59,3094.8900146484375
8,2022,2020-01-08,59,3076.68505859375
9,2023,2020-01-09,59,3088.7301025390625
10,2024,2020-01-10,59,3093.310546875
11,2025,2020-01-11,59,
12,2026,2020-01-12,59,
13,2027,2020-01-13,59,3095.47705078125
14,2028,2020-01-14,59,3116.386962890625
15,2029,2020-01-15,59,3094.989990234375
16,2030,2020-01-16,59,3083.6280517578125
17,2031,2020-01-17,63,3079.6024169921875
18,2032,2020-01-18,80,
19,2033,2020-01-19,216,
20,2034,2020-01-20,235,3083.3955078125
21,2035,2020-01-21,386,3068.510009765625
22,2036,2020-01-22,526,3037.760498046875
23,2037,2020-01-23,623,3000.1934814453125
24,2038,2020-01-24,882,
25,2039,2020-01-25,1323,
26,2040,2020-01-26,1988,
27,2041,2020-01-27,2775,
28,2042,2020-01-28,4528,
29,2043,2020-01-29,5994,
30,2044,2020-01-30,7734,
31,2045,2020-01-31,9714,
32,2046,2020-02-01,11809,
33,2047,2020-02-02,14399,
34,2048,2020-02-03,17211,2741.637451171875
35,2049,2020-02-04,20448,2735.716552734375
36,2050,2020-02-05,24320,2810.803466796875
37,2051,2020-02-06,28047,2842.10009765625
38,2052,2020-02-07,31207,2857.364990234375
39,2053,2020-02-08,34625,
40,2054,2020-02-09,37232,
41,2055,2020-02-10,40206,2871.448974609375
42,2056,2020-02-11,42696,2898.030029296875
43,2057,2020-02-12,44724,2909.6614990234375
44,2058,2020-02-13,59865,2918.324462890625
45,2059,2020-02-14,64021,2913.258544921875
46,2060,2020-02-15,66559,
47,2061,2020-02-16,68566,
48,2062,2020-02-17,70618,2954.31396484375
49,2063,2020-02-18,72508,2975.6875
50,2064,2020-02-19,74258,2985.0469970703125
51,2065,2020-02-20,74652,2999.9080810546875
52,2066,2020-02-21,75543,3039.51953125
53,2067,2020-02-22,76369,
54,2068,2020-02-23,77016,
55,2069,2020-02-24,77234,3024.7689208984375
56,2070,2020-02-25,77749,2980.33154296875
57,2071,2020-02-26,78159,2987.928955078125
58,2072,2020-02-27,78598,2994.969970703125
59,2073,2020-02-28,78927,2913.3349609375
60,2074,2020-02-29,79355,
61,2075,2020-03-01,79929,
62,2076,2020-03-02,80134,2940.9085693359375
63,2077,2020-03-03,80261,3001.7325439453125
64,2078,2020-03-04,80380,2993.180908203125
65,2079,2020-03-05,80497,3048.591552734375
66,2080,2020-03-06,80667,3040.9534912109375
67,2081,2020-03-07,80768,
68,2082,2020-03-08,80814,
69,2083,2020-03-09,80859,2964.9595947265625
70,2084,2020-03-10,80879,2952.5474853515625
71,2085,2020-03-11,80908,2989.2730712890625
72,2086,2020-03-12,80932,2925.37451171875
73,2087,2020-03-13,80954,2855.4324951171875
74,2088,2020-03-14,80973,
75,2089,2020-03-15,80995,
76,2090,2020-03-16,81020,2841.3485107421875
77,2091,2020-03-17,81063,2771.06396484375
78,2092,2020-03-18,81086,2772.3150634765625
79,2093,2020-03-19,81130,2691.8125
80,2094,2020-03-20,81229,2727.1944580078125
81,2095,2020-03-21,81281,
82,2096,2020-03-22,81346,
83,2097,2020-03-23,81484,2679.9150390625
84,2098,2020-03-24,81553,2695.27001953125
85,2099,2020-03-25,81631,2773.218505859375
86,2100,2020-03-26,81733,2770.9659423828125
87,2101,2020-03-27,81827,2788.652099609375
88,2102,2020-03-28,81946,
89,2103,2020-03-29,82059,
90,2104,2020-03-30,82157,2741.0765380859375
91,2105,2020-03-31,82241,2757.1414794921875
92,2106,2020-04-01,82295,2752.2215576171875
93,2107,2020-04-02,82395,2750.27099609375
94,2108,2020-04-03,82465,2767.3299560546875
95,2109,2020-04-04,82527,
96,2110,2020-04-05,82575,
97,2111,2020-04-06,82642,
98,2112,2020-04-07,82698,2812.55810546875
99,2113,2020-04-08,82784,2811.7550048828125
100,2114,2020-04-09,82870,2826.4140625
101,2115,2020-04-10,82925,2811.4954833984375
102,2116,2020-04-11,83004,
103,2117,2020-04-12,83097,
104,2118,2020-04-13,83209,2783.486083984375
105,2119,2020-04-14,83303,2808.363037109375
106,2120,2020-04-15,83352,2819.22705078125
107,2121,2020-04-16,83402,2810.0885009765625
108,2122,2020-04-17,83754,2842.490966796875
