,index,date,total_cases,stock
0,3352,2020-02-01,1,
1,3353,2020-02-02,1,
2,3354,2020-02-03,1,9396.5498046875
3,3355,2020-02-04,1,9519.85009765625
4,3356,2020-02-05,1,9631.05029296875
5,3357,2020-02-06,1,9786.60009765625
6,3358,2020-02-07,1,9789.0
7,3359,2020-02-08,1,
8,3360,2020-02-09,1,
9,3361,2020-02-10,2,9796.9501953125
10,3362,2020-02-11,2,9850.89990234375
11,3363,2020-02-12,2,9917.599609375
12,3364,2020-02-13,2,9852.19970703125
13,3365,2020-02-14,2,9937.4501953125
14,3366,2020-02-15,2,
15,3367,2020-02-16,2,
16,3368,2020-02-17,2,9988.7001953125
17,3369,2020-02-18,2,10004.64990234375
18,3370,2020-02-19,2,10060.4501953125
19,3371,2020-02-20,2,9990.64990234375
20,3372,2020-02-21,2,9894.9501953125
21,3373,2020-02-22,2,
22,3374,2020-02-23,2,
23,3375,2020-02-24,2,9568.19970703125
24,3376,2020-02-25,3,9383.4501953125
25,3377,2020-02-26,7,9196.75
26,3378,2020-02-27,12,9040.900390625
27,3379,2020-02-28,25,8700.64990234375
28,3380,2020-02-29,34,
29,3381,2020-03-01,66,
30,3382,2020-03-02,83,8727.2998046875
31,3383,2020-03-03,114,8895.35009765625
32,3384,2020-03-04,151,8854.80029296875
33,3385,2020-03-05,200,8801.2001953125
34,3386,2020-03-06,261,8426.2001953125
35,3387,2020-03-07,374,
36,3388,2020-03-08,430,
37,3389,2020-03-09,589,7822.14990234375
38,3390,2020-03-10,1204,7724.150146484375
39,3391,2020-03-11,1639,7540.85009765625
40,3392,2020-03-12,2140,6712.35009765625
41,3393,2020-03-13,3004,6804.39990234375
42,3394,2020-03-14,4231,
43,3395,2020-03-15,5753,
44,3396,2020-03-16,7753,6088.5
45,3397,2020-03-17,9191,6320.14990234375
46,3398,2020-03-18,11178,6349.150146484375
47,3399,2020-03-19,13716,6367.349853515625
48,3400,2020-03-20,17147,6570.5
49,3401,2020-03-21,19980,
50,3402,2020-03-22,24926,
51,3403,2020-03-23,28572,6310.0
52,3404,2020-03-24,33089,6560.449951171875
53,3405,2020-03-25,39673,6841.949951171875
54,3406,2020-03-26,47610,6896.150146484375
55,3407,2020-03-27,56188,6799.300048828125
56,3408,2020-03-28,64059,
57,3409,2020-03-29,72248,
58,3410,2020-03-30,78797,6648.050048828125
59,3411,2020-03-31,85195,6713.35009765625
60,3412,2020-04-01,94417,6626.5
61,3413,2020-04-02,102136,6541.699951171875
62,3414,2020-04-03,110238,6570.949951171875
63,3415,2020-04-04,117710,
64,3416,2020-04-05,124736,
65,3417,2020-04-06,130759,6801.75
66,3418,2020-04-07,135032,7011.35009765625
67,3419,2020-04-08,140510,6906.550048828125
68,3420,2020-04-09,146690,7017.75
69,3421,2020-04-10,152446,
70,3422,2020-04-11,157022,
71,3423,2020-04-12,161852,
72,3424,2020-04-13,166019,
73,3425,2020-04-14,169496,7145.0
74,3426,2020-04-15,172541,6951.599853515625
75,3427,2020-04-16,177633,6842.0
76,3428,2020-04-17,182816,6922.64990234375
