Series Name,"Series Code","Country Name","Country Code","1960 [YR1960]","1961 [YR1961]","1962 [YR1962]","1963 [YR1963]","1964 [YR1964]","1965 [YR1965]","1966 [YR1966]","1967 [YR1967]","1968 [YR1968]","1969 [YR1969]","1970 [YR1970]","1971 [YR1971]","1972 [YR1972]","1973 [YR1973]","1974 [YR1974]","1975 [YR1975]","1976 [YR1976]","1977 [YR1977]","1978 [YR1978]","1979 [YR1979]","1980 [YR1980]","1981 [YR1981]","1982 [YR1982]","1983 [YR1983]","1984 [YR1984]","1985 [YR1985]","1986 [YR1986]","1987 [YR1987]","1988 [YR1988]","1989 [YR1989]","1990 [YR1990]","1991 [YR1991]","1992 [YR1992]","1993 [YR1993]","1994 [YR1994]","1995 [YR1995]","1996 [YR1996]","1997 [YR1997]","1998 [YR1998]","1999 [YR1999]","2000 [YR2000]","2001 [YR2001]","2002 [YR2002]","2003 [YR2003]","2004 [YR2004]","2005 [YR2005]","2006 [YR2006]","2007 [YR2007]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]"
"Population, total","SP.POP.TOTL","World","WLD","3031437775","3072480998","3125456671","3190564032","3256064767","3322973367","3393031801","3462460201","3532826854","3607499991","3682911039","3760509002","3836892580","3912347640","3988478324","4062864562","4135418002","4207766711","4281312782","4356746035","4432925590","4511137170","4592341169","4674266079","4755914211","4839074592","4924736807","5012555212","5101297281","5189996799","5280076284","5368065408","5452349932","5537511534","5621787194","5706689090","5789623839","5872254361","5954005524","6034491778","6114332536","6193671787","6272752974","6351882361","6431551644","6511748367","6592734542","6674203658","6756917904","6839574284","6921871614","7002860604","7085763408","7169640142","7254228377","7338964960","7424282488","7509065705","7591932906.5","7673533972"
Population ages 0-14 (% of total population),"SP.POP.0014.TO.ZS","World","WLD","37.1727692841888","37.3493978325141","37.5715151363972","37.7813235491351","37.9023295512955","37.9162745538424","38.0038269742696","37.9573702748297","37.830122486265","37.6788199641691","37.5427809361355","37.4661458430156","37.3667135727093","37.245442748214","37.0742727593284","36.8450163907011","36.6324369946426","36.3553794224852","36.030228096604","35.6819916462075","35.3309495410141","34.9957566134071","34.6845505393521","34.3870913470207","34.0920344058281","33.8001085293128","33.6304375309764","33.4488813380672","33.2615538291184","33.0653111879959","32.8573354500794","32.7374651155119","32.5354202734377","32.2831885968721","32.0213283574639","31.7657147967095","31.423058214376","31.1421103433784","30.8736968070594","30.5527923984899","30.1581954966186","29.8247211540562","29.4135464833786","28.9637193867385","28.5406214628097","28.1777542174702","27.8758956079056","27.6218605506578","27.4069445201475","27.2092515515278","27.0154361683035","26.8583231658647","26.6941200115422","26.5292486107741","26.369451489086","26.2157038055462","26.0741228258783","25.9352650201403","25.7959712815532","25.6488355687986"
Population ages 15-64 (% of total population),"SP.POP.1564.TO.ZS","World","WLD","57.8572121265997","57.6336265068133","57.3858737378888","57.1663877887981","57.0409422442745","57.0258670654146","56.8816046228779","56.8740430137226","56.9517145589633","57.0581645911857","57.1552538934822","57.1651371085331","57.2058397088334","57.2750197855291","57.3960228206344","57.5757220783054","57.7089774708877","57.9081901847644","58.1629011851312","58.4575433010003","58.7762071965067","59.0768088531452","59.3792875776411","59.6809785776463","59.977806883565","60.2611182231022","60.3938114215079","60.53505776492","60.6780300890315","60.8253654369914","60.9810682366699","61.027696892273","61.1497478791798","61.323546029424","61.5138834944902","61.7085191326461","61.9634823313202","62.1744612367753","62.3822463491447","62.6412037620966","62.9677143215348","63.2171139211432","63.5409648259275","63.9058568643758","64.2570556087916","64.5646846351064","64.7965655455131","64.9947897965482","65.1584265550791","65.297546746459","65.4174220166435","65.473772183339","65.5249627290531","65.5624423534255","65.5758196340504","65.5613661395616","65.4991112069102","65.4189133001257","65.3308998355387","65.2520417484969"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","World","WLD","4.9700185892115","5.01697566067259","5.04261112571407","5.05228866206681","5.05672820443001","5.05785838074305","5.11456840285246","5.16858671144764","5.21816295477167","5.2630154446452","5.30196517038229","5.36871704845125","5.42744671845728","5.47953746625693","5.5297044200372","5.57926153099356","5.65858553446977","5.73643039275044","5.80687071826484","5.86046505279216","5.89284326247916","5.92743453344778","5.93616188300688","5.93193007533304","5.93015871060684","5.93877324758497","5.97575104751567","6.01606089701282","6.06041608185018","6.10932337501275","6.16159631325071","6.23483799221521","6.31483184738249","6.39326537370387","6.4647881480459","6.52576607064437","6.61345945430377","6.68342841984633","6.744056843796","6.80600383941356","6.87409018184661","6.9581649248006","7.04548869069386","7.13042374888567","7.20232292839875","7.25756114742335","7.3275388465813","7.38334965279406","7.43462892477349","7.49320170201316","7.56714181505302","7.66790465079635","7.7809172594047","7.90830903580034","8.05472887686356","8.22293005489227","8.42676596721152","8.64582167973406","8.87312888290815","9.09912268270451"
"Age dependency ratio, young (% of working-age population)","SP.POP.DPND.YG","World","WLD","64.2491538443138","64.8048720325638","65.4717137569898","66.0901010430856","66.4475870535859","66.4896065236656","66.81215728879","66.7393565509109","66.4249055057794","66.035807994211","65.6856165452969","65.5402010558395","65.3197535854724","65.0291223286554","64.5938009887485","63.994015250299","63.4778825697658","62.7810665307365","61.9470956609722","61.0391571014542","60.1109721590885","59.2377233997414","58.411867144892","57.6181760121257","56.8410819446008","56.0894148226517","55.685237873693","55.255388402002","54.8164694679021","54.361056409245","53.8812068107265","53.6436189119508","53.2061396358727","52.6440343849981","52.0554491782029","51.4770332200603","50.7122212406358","50.0882672863906","49.49115918011","48.7742741429234","47.8946963729018","47.1782391357299","46.2906829355286","45.3224803924072","44.4163231660323","43.642673012522","43.0206376028533","42.4985766758543","42.0620109344733","41.6696383752799","41.2970052275977","41.0214997146736","40.7388555810325","40.4640944887132","40.2121569496512","39.9865123826575","39.8083611429118","39.6449035108907","39.4851002839596","39.307330269175"
"Age dependency ratio, old (% of working-age population)","SP.POP.DPND.OL","World","WLD","8.59014521273539","8.70494525743519","8.78719949976122","8.83786593073994","8.86508546018277","8.86941084846828","8.99160377188482","9.08777777293604","9.1624334728332","9.22394796330449","9.27642672576765","9.39159300760175","9.48757451561069","9.56706344639619","9.63429901017333","9.69030235125675","9.80538187738467","9.90607800373806","9.98380516151531","10.0251648233074","10.025899141248","10.0334372370162","9.99702456651447","9.9393980829051","9.88725512256139","9.8550666803066","9.89464131497721","9.93814343257749","9.98782598107579","10.044038915333","10.1041135210982","10.2164071823144","10.3268321262348","10.4254658768988","10.5094780915103","10.5751461659314","10.6731564793018","10.749475376166","10.8108591525846","10.8650591657694","10.916848739471","11.0067741350871","11.0881046582022","11.1576999119812","11.208610221695","11.2407599175305","11.3085297122495","11.3599100601733","11.4100804886912","11.475471894416","11.5674716726005","11.7114142664218","11.8747373671278","12.0622551287008","12.2830776704825","12.5423408954537","12.8654659937668","13.216088765299","13.5818255242687","13.9445792798212"
"Death rate, crude (per 1,000 people)","SP.DYN.CDRT.IN","World","WLD","17.7144965104717","14.9992219278917","13.9525851975272","13.7356073926076","13.790506550423","13.2055373203129","12.8630992408174","12.6003195611162","12.4595141125675","12.2664659679054","11.9924810947911","11.7570192751618","11.6623779336331","11.4184281395174","11.3087516251827","11.1632121099163","11.0047084131797","10.7375947252572","10.4838821816121","10.313781346229","10.2724592179457","10.1121514554384","10.0244287087102","10.0200621979893","9.89373621914239","9.78096766015481","9.63761891878159","9.50268855315225","9.39776068812723","9.27059610207511","9.22561799846436","9.16192437121056","9.07804040764651","9.09901976796462","9.00915096089291","8.95425723724365","8.84625544713066","8.74186341245592","8.66065092235144","8.62147585574372","8.54927978838986","8.47222266636197","8.41608133402138","8.38040306036602","8.24298202883479","8.21637768410848","8.14344046495336","8.07425871205134","8.02449818545051","7.91204635209048","7.84911260594064","7.76754365339008","7.71764769738104","7.65437425088011","7.59598244899748","7.59287739406896","7.54448509557344","7.54117434004","7.52882617072204",".."
"Birth rate, crude (per 1,000 people)","SP.DYN.CBRT.IN","World","WLD","31.752681731627","31.0314178550872","34.883115079793","36.0559988388688","34.9474743096983","34.3329106440544","33.3025178144323","33.0356029542538","33.1813648182087","32.6694877744159","32.373128532903","31.5689546352204","31.0708060092953","30.451411115926","29.6058642484671","28.9815927182302","28.1478624126246","27.8224605297184","27.5521433825465","27.4134250110403","27.4215317430027","27.8918317928001","28.0919774970334","27.4872586111126","27.2217119738044","27.2540424297263","27.3320386291","27.2754192659122","26.7903496222099","26.2736854429037","25.8785238872697","25.2140674358194","24.5822373079288","24.1825404886932","23.8044195146008","23.3679398414416","23.079145530364","22.7492551928179","22.3364943889099","21.9105336473696","21.6493505242873","21.3073537595864","21.0539866898613","20.838567643722","20.6850956332548","20.5514927601727","20.4000227851903","20.3062686901473","20.1954915883943","20.0026240994212","19.7814072497411","19.5996335408424","19.4858123542677","19.2778673106196","19.1954906697511","18.9754755927485","18.9627194960505","18.6334973933558","18.1748551226505",".."
,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
