,id,viewCount,likeCount,dislikeCount,commentCount,publishedAt,title,channelTitle,publishTime
0,h3UfScBh7_0,8111,35,1,9,2012-02-01T21:13:03Z,Studs - Trailer,TheBFSEntertainment,2012-02-01T21:13:03Z
1,whrMzaylsZs,180,0,0,0,2012-02-02T07:38:35Z,Harry Potter in Black Trailer - 2012,hoodshiznit,2012-02-02T07:38:35Z
2,l0S-w6xlxxM,124469,344,125,351,2012-02-04T01:45:58Z,The Woman In Black Movie Review: Beyond The Trailer,Beyond The Trailer,2012-02-04T01:45:58Z
3,sbXqYsxfV8k,1156,1,0,0,2012-02-04T01:59:57Z,Harry Potter and the Deathly Hallows trailer Vietsub - MOVEEK.VN,MoveekProject,2012-02-04T01:59:57Z
4,c8uDEvpqs-s,185,1,0,1,2012-02-05T00:57:52Z,Harry Potter and the Deathly Hallows Part 2 DVD Trailer 1 [Fanmade],projectwarbird,2012-02-05T00:57:52Z
5,aMNdKxeIUls,405,1,0,2,2012-02-05T01:12:29Z,Harry Potter and the Deathly Hallows Part 2 DVD Trailer 2 [Fanmade],projectwarbird,2012-02-05T01:12:29Z
6,EaUGI83SF_Y,9811,110,0,7,2012-02-05T01:37:35Z,Harry Potter Tribute Final-The Chosen One,projectwarbird,2012-02-05T01:37:35Z
7,cRAEfP9rSQY,3923,37,2,12,2012-02-05T12:22:38Z,Harry Potter The Dark knight Rises trailer &quot;The Boy Who Lived Rises&quot;,GerrardCrespo,2012-02-05T12:22:38Z
8,FI1-GIJfPPU,8483,167,1,17,2012-02-05T18:59:23Z,The Lucky One (trailer) - Harry &amp; Hermione style,sweeetpumpkinpie,2012-02-05T18:59:23Z
9,6z4pfx_vECU,1102,7,0,1,2012-02-06T14:02:13Z,Epic Harry Potter Trailer,epicstarwarstrailers,2012-02-06T14:02:13Z
10,SRBKvd8diAk,59917,,,0,2012-02-07T16:41:15Z,William &amp; Kate - The Movie - Trailer,YouTube Movies,2012-02-07T16:41:15Z
11,Lnuqqz677QE,28436,528,33,93,2012-02-09T02:53:37Z,Gay Moments Of Harry Potter,FredxGeorge64,2012-02-09T02:53:37Z
12,4aZuhjFH54s,1171,4,1,2,2012-02-09T03:53:09Z,Lego Version Of Harry Potter And The Philosopher&#39;s Stone Trailer | KeepCalmHugVoldemort,KeepCalmHugVoldemort,2012-02-09T03:53:09Z
13,wtOUjLNysqs,438939,960,36,117,2012-02-09T11:31:20Z,The Woman in Black - Trailer ufficiale italiano (HD),Videa,2012-02-09T11:31:20Z
14,9q42L4XNVhQ,650472,,,,2012-02-10T00:11:05Z,Pandorum - Trailer,YouTube Movies,2012-02-10T00:11:05Z
15,UrIbxk7idYA,5017873,19669,980,,2012-02-10T19:18:02Z,300 - Official Trailer [HD],Warner Bros. Pictures,2012-02-10T19:18:02Z
16,Z5fLRkJAOf8,3952,39,1,14,2012-02-11T16:38:17Z,Lego Harry Potter: Lata 5-7 - videorecenzja TRAILER (review PL),quaz9,2012-02-11T16:38:17Z
17,vuAac_sNcbw,449,10,5,5,2012-02-11T17:13:15Z,Harry Potter - The Deathly Hallows Part 2 (Mini Trailer - Parody),Tebz,2012-02-11T17:13:15Z
18,Dd3mTwogTBE,321,3,1,0,2012-02-11T17:22:19Z,Lego &#39;The man in tortuga&#39; Official Trailer Pirates of the Caribbean,Jiskpirate,2012-02-11T17:22:19Z
19,KGXpZamg1pE,430,2,0,3,2012-02-11T18:16:10Z,Albus Potter Trailer (Our Version),bradleet0,2012-02-11T18:16:10Z
20,BPR76_uJzC0,4406,25,10,3,2012-02-11T20:44:48Z,Harry Potter and The Secret of Hogwarts - NEW MOVIE 2012 - TRAILER IN THE DESCRIPTION,RipRydar,2012-02-11T20:44:48Z
21,CDOswNuywHM,1495,11,1,7,2012-02-12T21:25:51Z,harry potter and the digimon hallows trailer,martinb0508,2012-02-12T21:25:51Z
22,PgczblMXgo4,1702,8,0,0,2012-02-13T11:43:18Z,50/50 OFFICIAL TRAILER,VILLAGE,2012-02-13T11:43:18Z
23,0sKRRY5tQz8,9923863,54038,3323,7204,2012-02-13T18:59:23Z,Honest Trailers - Phantom Menace 3D,Screen Junkies,2012-02-13T18:59:23Z
24,XxgFDofGtyE,27233,,,,2012-02-15T02:58:52Z,Day of Defense Trailer,nuworlds,2012-02-15T02:58:52Z
25,QopgHSN0oWQ,227,3,0,0,2012-02-16T13:19:22Z,Harry Potter and the Half Blood Prince - Trailer Mashup,sirnicholashansen,2012-02-16T13:19:22Z
26,Z_9oP_ixiGc,2326,2,1,1,2012-02-17T14:03:26Z,Official Trailer The Woman In Black #2 (NL),Filmpjekijkencom,2012-02-17T14:03:26Z
