,id,viewCount,likeCount,dislikeCount,commentCount,publishedAt,title,channelTitle,publishTime
0,7Lh-9bWQzbE,3139,11,1,2,2009-03-02T01:29:46Z,&#39;Wishbaby&#39; Theatrical Trailer,richardjohntaylor85,2009-03-02T01:29:46Z
1,2eVkozXkDTM,831969,1669,60,1016,2009-03-02T19:21:27Z,Harry Potter and the Half Blood Prince - Behind the Scenes!!,ClevverTV,2009-03-02T19:21:27Z
2,drEiKWwQDXQ,11426,30,2,3,2009-03-04T17:05:35Z,Blind Ego &quot;Numb&quot; Trailer 2009,RPWL,2009-03-04T17:05:35Z
3,852wlOkBo50,238457,1421,34,156,2009-03-05T02:29:27Z,Best Scene from The Covenant,FanpireForever24,2009-03-05T02:29:27Z
4,67J_S8zZb4Y,3289,6,0,0,2009-03-05T15:51:16Z,Up [Trailer 2] [HD] 2009,James Kearney,2009-03-05T15:51:16Z
5,CQbqxboQ50I,273,1,1,0,2009-03-05T21:01:27Z,Harry Potter and the Half-Blood Prince trailer #3 (HD),BelomoeFF,2009-03-05T21:01:27Z
6,kpeJKgrT0Fc,6806,42,1,19,2009-03-05T21:45:28Z,NEW! 3/6/09: [HD] HARRY POTTER AND THE HALF-BLOOD PRINCE TRAILER,halfbloodvideos,2009-03-05T21:45:28Z
7,ldl9qbfrBKc,141998,297,11,168,2009-03-05T22:54:06Z,Harry Potter and the Half Blood Prince Trailer # 4 New!,apnatv7HQ,2009-03-05T22:54:06Z
8,WvkGiqndWrE,186,3,0,0,2009-03-05T23:32:06Z,Harry Potter and the Half Blood Prince Trailer #5,Sebay,2009-03-05T23:32:06Z
9,b2kIWt9OAHs,1047915,876,163,427,2009-03-07T00:27:53Z,Angels And Demons Movie Trailer,ClevverTV,2009-03-07T00:27:53Z
10,DqZYgYqYbEE,841,6,0,2,2009-03-07T09:36:35Z,Harry Potter and the Half-Blood Prince - Trailer 4 (720p HD),sunshineandunicorns,2009-03-07T09:36:35Z
11,xXk4lvHPsu4,1050,5,0,0,2009-03-07T13:43:00Z,Transformers: Revenge of the Fallen Trailer #1 HD,ComingSoonFilm,2009-03-07T13:43:00Z
