,id,viewCount,likeCount,dislikeCount,commentCount,publishedAt,title,channelTitle
0,EgHI4YBXhxM,87715,244,20,2,2009-12-02T19:39:16.000Z,Avatar IMAX® Trailer,IMAX
1,thowpsZ_xcQ,114176,112,18,18,2009-12-02T21:26:28.000Z,Avatar IMAX® Trailer #2,IMAX
2,YlJp4Ezp6vg,3674,8,1,1,2009-12-05T07:20:01.000Z,Harry Potter and the Sorcerer&#39;s Stone trailer,pbiasizzo
3,nYtXPUcnL0E,12412,16,0,4,2009-12-05T07:21:43.000Z,Harry Potter and the Chamber of Secrets trailer,pbiasizzo
4,Y5T1rB_4LIc,1785,3,1,1,2009-12-05T07:23:30.000Z,Harry Potter and the Prisoner of Azkaban trailer,pbiasizzo
5,NQlKSqJE724,1827,3,4,1,2009-12-06T00:47:07.000Z,Harry Potter and the Deathly Hallows Trailer Movie.avi,Pedro Augusto
6,aU-O6_MtTB8,126,1,0,0,2009-12-06T01:27:14.000Z,Harry Potter and the Deathly Hallows - Official Trailer [High-Res],MrSirCamper
7,adI9iTZ2RqI,11273,66,4,18,2009-12-06T01:41:41.000Z,LINK TO THE HQ TRAILER of Harry Potter and the Deathly Hallows and Our First Reactions!,TwoSinglePeople
8,dWnmKirTZ2g,133478,352,14,77,2009-12-06T16:51:44.000Z,Harry Potter and the Deathly Hallows Official soundtrack and link to movie trailer,Harry Rayat
9,Zn0ed4Xn2AY,23196,67,4,10,2009-12-07T18:59:41.000Z,Wizarding World of Harry Potter DVD preview from The Half-Blood Prince,Attractions Magazine
10,k-RZ-1yBspY,3915,7,3,0,2009-12-07T21:48:36.000Z,HARRY POTTER and the DEATHLY HALLOWS trailer,strawberryfeilds4eva
11,ghqOxQIXhxA,1950,4,0,0,2009-12-08T10:50:22.000Z,Official Trailer of Harry Potter &amp; The Deathly Hallows pt 1,questionseeker
12,sHoU2OroHlY,37,0,0,0,2009-12-08T12:37:02.000Z,Harry Potter 7 Official Trailer.avi,Andreja Todorovic
13,lqYMSKxzYbA,188,2,0,0,2009-12-08T23:53:37.000Z,LEGO Harry Potter Year 1 Vignette,WB Games Australia & New Zealand
14,kGkfzIdgqak,16687,18,12,0,2009-12-09T15:05:30.000Z,Leaked Harry Potter and the Deathly Hallows Trailer,dhcountdown
15,RVB3F3OWMYM,77953,50,5,11,2009-12-09T19:49:21.000Z,LEGO Harry Potter: Years 1-4 Vignette Trailer,G4VideogameTrailers
16,jP3q8hMN3Ok,54083,64,3,51,2009-12-10T13:33:03.000Z,Teaser Trailer Harry Potter e i Doni della Morte,Hogwartsite
17,9CXCkL8lpnI,7558,68,1,3,2009-12-10T20:48:12.000Z,Harry Potter and the Half-Blood Prince Videogame Trailer,G4VideogameTrailers
18,PyxciHAkRnY,194,1,0,0,2009-12-11T07:35:43.000Z,Harry Potter And The Deathly Hallows  OFFICIAL TRAILER,Salah Louhani
19,Cw0sJcG-d9U,404197,1166,47,70,2009-12-11T11:48:46.000Z,Percy Jackson - Diebe im Olymp - Trailer 3,20th Century Studios DE
20,JStIAp-7Y94,1965,12,0,2,2009-12-12T03:00:08.000Z,Harry Potter and the Half-Blood Prince Launch Trailer,G4VideogameTrailers
21,yVwurlMEpGA,36987,23,13,7,2009-12-13T14:09:42.000Z,Harry Potter and the Deathly Hallows Trailer Part 1,TheKoibear
22,E_d50A-dnwU,6466,14,0,5,2009-12-13T17:15:52.000Z,Harry Potter and the Deathly Hallows FIRST trailer [ Greek Subs ] - 7th,8manollo8
23,frQITWO0y04,10550,11,6,5,2009-12-13T18:51:41.000Z,Harry Potter and the Deathly Hallows Trailer Movie,Thecrazyplanet
