;YYYY-MM-DD;content;engagement;engagement/tweet
64;2010-03-18;1;83;83,0
65;2010-03-19;1;37;37,0
66;2010-03-23;1;32;32,0
67;2010-03-24;1;68;68,0
68;2010-03-29;1;66;66,0
69;2010-03-31;1;32;32,0
70;2010-04-01;1;17;17,0
71;2010-04-06;3;71;23,666666666666668
72;2010-04-07;1;19;19,0
73;2010-04-09;1;24;24,0
74;2010-04-12;1;27;27,0
75;2010-04-13;1;138;138,0
76;2010-04-14;1;54;54,0
77;2010-04-16;1;25;25,0
78;2010-04-20;1;291;291,0
79;2010-04-21;1;8473;8473,0
80;2010-04-22;1;31;31,0
81;2010-04-23;1;33;33,0
82;2010-04-26;1;86;86,0
83;2010-04-28;1;26;26,0
84;2010-04-29;1;51;51,0
85;2010-04-30;1;31;31,0
86;2010-05-03;3;70;23,333333333333332
87;2010-05-05;1;57;57,0
88;2010-05-13;1;30;30,0
89;2010-05-17;1;271;271,0
90;2010-05-19;1;30;30,0
91;2010-05-20;2;109;54,5
92;2010-05-21;1;43;43,0
93;2010-05-24;1;77;77,0
94;2010-05-25;2;52;26,0
95;2010-05-26;2;65;32,5
96;2010-05-27;1;2559;2559,0
97;2010-05-28;1;99;99,0
98;2010-06-02;1;40;40,0
99;2010-06-04;2;49;24,5
100;2010-06-05;1;41;41,0
101;2010-06-08;1;25;25,0
102;2010-06-09;2;33;16,5
103;2010-06-10;1;18;18,0
104;2010-06-15;2;47;23,5
105;2010-06-17;2;86;43,0
106;2010-06-21;2;44;22,0
107;2010-06-22;1;31;31,0
108;2010-06-24;1;87;87,0
109;2010-06-28;1;35;35,0
110;2010-07-01;1;32;32,0
111;2010-07-02;2;110;55,0
112;2010-07-06;1;52;52,0
113;2010-07-14;1;142;142,0
114;2010-07-19;3;44;14,666666666666666
115;2010-07-20;1;90;90,0
116;2010-07-29;3;129;43,0
117;2010-07-30;1;34;34,0
118;2010-08-04;2;88;44,0
119;2010-08-09;1;50;50,0
120;2010-08-12;7;368;52,57142857142857
121;2010-08-19;2;130;65,0
122;2010-08-23;1;58;58,0
123;2010-08-24;1;289;289,0
124;2010-08-26;1;58;58,0
125;2010-08-30;1;35;35,0
126;2010-08-31;1;223;223,0
127;2010-09-01;1;58;58,0
128;2010-09-02;2;79;39,5
129;2010-09-07;2;66;33,0
130;2010-09-09;1;50;50,0
131;2010-09-14;1;71;71,0
132;2010-09-15;1;32;32,0
133;2010-09-16;1;78;78,0
134;2010-09-17;1;57;57,0
135;2010-09-23;1;55;55,0
136;2010-09-24;1;62;62,0
137;2010-09-30;1;271;271,0
138;2010-10-01;1;30;30,0
139;2010-10-06;1;52;52,0
140;2010-10-07;2;72;36,0
141;2010-10-14;2;636;318,0
142;2010-10-21;1;41;41,0
143;2010-10-27;1;50;50,0
144;2010-10-28;1;45;45,0
145;2010-11-03;1;43;43,0
146;2010-11-04;1;54;54,0
147;2010-11-11;1;33;33,0
148;2010-11-15;1;58;58,0
149;2010-11-18;2;79;39,5
150;2010-11-22;1;49;49,0
151;2010-11-24;3;695;231,66666666666666
152;2010-11-29;1;43;43,0
153;2010-12-02;1;41;41,0
154;2010-12-09;1;71;71,0
155;2010-12-10;1;65;65,0
156;2010-12-13;3;104;34,666666666666664
157;2010-12-14;1;287;287,0
158;2010-12-16;1;136;136,0
159;2010-12-23;1;15392;15392,0
160;2010-12-30;1;389;389,0
161;2011-01-12;2;178;89,0
162;2011-01-13;1;221;221,0
163;2011-01-21;2;127;63,5
164;2011-01-27;2;420;210,0
165;2011-01-31;2;88;44,0
166;2011-02-07;1;103;103,0
167;2011-02-10;1;411;411,0
168;2011-02-11;1;156;156,0
169;2011-02-15;3;915;305,0
170;2011-02-16;2;780;390,0
171;2011-02-17;2;129;64,5
172;2011-02-18;1;104;104,0
173;2011-02-22;1;102;102,0
174;2011-02-23;1;80;80,0
175;2011-02-28;3;301;100,33333333333333
176;2011-03-01;1;71;71,0
177;2011-03-02;1;99;99,0
178;2011-03-03;1;91;91,0
179;2011-03-04;1;55;55,0
180;2011-03-07;2;195;97,5
181;2011-03-08;1;66;66,0
182;2011-03-10;1;162;162,0
183;2011-03-11;1;47;47,0
184;2011-03-14;2;97;48,5
185;2011-03-15;5;530;106,0
186;2011-03-16;3;274;91,33333333333333
187;2011-03-17;2;118;59,0
188;2011-03-18;2;181;90,5
189;2011-03-21;4;610;152,5
190;2011-03-22;2;193;96,5
191;2011-03-23;1;89;89,0
192;2011-03-28;2;102;51,0
193;2011-03-30;2;175;87,5
194;2011-03-31;2;146;73,0
195;2011-04-01;1;90;90,0
196;2011-04-05;3;128;42,666666666666664
197;2011-04-07;3;255;85,0
198;2011-04-08;1;48;48,0
199;2011-04-11;1;36;36,0
200;2011-04-12;2;65;32,5
201;2011-04-13;1;169;169,0
202;2011-04-14;1;111;111,0
203;2011-04-15;1;110;110,0
204;2011-04-18;3;126;42,0
205;2011-04-19;1;68;68,0
206;2011-04-20;1;85;85,0
207;2011-04-21;2;84;42,0
208;2011-04-22;1;74;74,0
209;2011-04-25;2;111;55,5
210;2011-04-28;1;119;119,0
211;2011-04-29;2;100;50,0
212;2011-05-02;2;1567;783,5
213;2011-05-03;1;43;43,0
214;2011-05-06;1;54;54,0
215;2011-05-09;2;94;47,0
216;2011-05-12;1;52;52,0
217;2011-05-13;2;369;184,5
218;2011-05-16;2;875;437,5
219;2011-05-17;1;90;90,0
220;2011-05-19;1;41;41,0
221;2011-05-20;1;58;58,0
222;2011-05-23;2;92;46,0
223;2011-05-25;1;50;50,0
224;2011-05-26;1;28;28,0
225;2011-05-27;1;358;358,0
226;2011-06-01;2;110;55,0
227;2011-06-02;1;86;86,0
228;2011-06-06;1;65;65,0
229;2011-06-07;1;113;113,0
230;2011-06-09;1;155;155,0
231;2011-06-14;2;83;41,5
232;2011-06-16;1;95;95,0
233;2011-06-20;1;99;99,0
234;2011-06-21;2;150;75,0
235;2011-06-23;1;37;37,0
236;2011-06-24;1;14;14,0
237;2011-06-27;2;137;68,5
238;2011-07-01;2;172;86,0
239;2011-07-05;2;195;97,5
240;2011-07-06;1;314;314,0
241;2011-07-07;3;1245;415,0
242;2011-07-08;4;931;232,75
243;2011-07-11;2;101;50,5
244;2011-07-12;3;2811;937,0
245;2011-07-13;1;40;40,0
246;2011-07-14;8;3940;492,5
247;2011-07-15;3;246;82,0
248;2011-07-18;5;6078;1215,6
249;2011-07-19;5;1362;272,4
250;2011-07-20;4;2822;705,5
251;2011-07-21;1;114;114,0
252;2011-07-22;2;432;216,0
253;2011-07-25;5;2262;452,4
254;2011-07-26;5;1775;355,0
255;2011-07-27;5;16793;3358,6
256;2011-07-28;6;562;93,66666666666667
257;2011-07-29;7;2680;382,85714285714283
258;2011-07-30;2;410;205,0
259;2011-08-01;4;1601;400,25
260;2011-08-02;6;787;131,16666666666666
261;2011-08-03;7;3906;558,0
262;2011-08-04;4;862;215,5
263;2011-08-05;3;395;131,66666666666666
264;2011-08-08;2;534;267,0
265;2011-08-09;6;495;82,5
266;2011-08-10;5;1171;234,2
267;2011-08-11;3;181;60,333333333333336
268;2011-08-12;3;1598;532,6666666666666
269;2011-08-13;3;4992;1664,0
270;2011-08-15;7;20907;2986,714285714286
271;2011-08-16;3;852;284,0
272;2011-08-17;4;6294;1573,5
273;2011-08-18;4;730;182,5
274;2011-08-19;3;1299;433,0
275;2011-08-22;4;1005;251,25
276;2011-08-23;4;16195;4048,75
277;2011-08-24;3;1741;580,3333333333334
278;2011-08-25;4;4112;1028,0
279;2011-08-26;5;4823;964,6
280;2011-08-29;4;2175;543,75
281;2011-08-30;4;1906;476,5
282;2011-08-31;5;1641;328,2
283;2011-09-01;4;1139;284,75
284;2011-09-02;2;1639;819,5
285;2011-09-06;5;1734;346,8
286;2011-09-07;5;5341;1068,2
287;2011-09-08;6;1662;277,0
288;2011-09-09;3;1522;507,3333333333333
289;2011-09-12;8;2239;279,875
290;2011-09-13;6;1011;168,5
291;2011-09-14;6;453;75,5
292;2011-09-15;5;847;169,4
293;2011-09-16;6;1658;276,3333333333333
294;2011-09-18;1;26;26,0
295;2011-09-19;5;1599;319,8
296;2011-09-20;4;945;236,25
297;2011-09-21;6;5194;865,6666666666666
298;2011-09-22;4;538;134,5
299;2011-09-23;3;733;244,33333333333334
300;2011-09-26;2;468;234,0
301;2011-09-27;6;1339;223,16666666666666
302;2011-09-28;8;4153;519,125
303;2011-09-29;8;3237;404,625
304;2011-09-30;8;1504;188,0
305;2011-10-03;9;1611;179,0
306;2011-10-04;7;994;142,0
307;2011-10-05;2;1418;709,0
308;2011-10-06;4;1004;251,0
309;2011-10-07;6;5088;848,0
310;2011-10-11;7;3425;489,2857142857143
311;2011-10-12;2;163;81,5
312;2011-10-13;2;1312;656,0
313;2011-10-14;3;625;208,33333333333334
314;2011-10-15;2;96;48,0
315;2011-10-16;1;70;70,0
316;2011-10-17;6;2555;425,8333333333333
317;2011-10-18;7;1329;189,85714285714286
318;2011-10-19;5;2826;565,2
319;2011-10-20;8;1378;172,25
320;2011-10-21;6;3589;598,1666666666666
321;2011-10-24;6;3878;646,3333333333334
322;2011-10-25;13;5847;449,7692307692308
323;2011-10-26;7;1276;182,28571428571428
324;2011-10-27;5;2325;465,0
325;2011-10-28;4;517;129,25
326;2011-10-31;1;48;48,0
327;2011-11-01;6;2790;465,0
328;2011-11-02;8;2974;371,75
329;2011-11-04;5;694;138,8
330;2011-11-08;5;932;186,4
331;2011-11-09;5;974;194,8
332;2011-11-10;9;1938;215,33333333333334
333;2011-11-11;8;1597;199,625
334;2011-11-14;5;1631;326,2
335;2011-11-15;7;1104;157,71428571428572
336;2011-11-16;10;1144;114,4
337;2011-11-17;6;1193;198,83333333333334
338;2011-11-18;10;1703;170,3
339;2011-11-21;6;1317;219,5
340;2011-11-22;6;2225;370,8333333333333
341;2011-11-23;4;1199;299,75
342;2011-11-28;8;1458;182,25
343;2011-11-29;9;68464;7607,111111111111
344;2011-11-30;7;1805;257,85714285714283
345;2011-12-01;6;831;138,5
346;2011-12-02;9;3026;336,22222222222223
347;2011-12-05;12;1659;138,25
348;2011-12-06;9;2805;311,6666666666667
349;2011-12-07;11;501;45,54545454545455
350;2011-12-08;14;2008;143,42857142857142
351;2011-12-09;16;4050;253,125
352;2011-12-12;12;1421;118,41666666666667
353;2011-12-13;13;1481;113,92307692307692
354;2011-12-14;20;6275;313,75
355;2011-12-15;11;5414;492,1818181818182
356;2011-12-16;12;1809;150,75
357;2011-12-19;11;1637;148,8181818181818
358;2011-12-20;15;5034;335,6
359;2011-12-21;10;63149;6314,9
360;2011-12-22;10;1488;148,8
361;2011-12-27;11;2708;246,1818181818182
362;2011-12-28;7;3336;476,57142857142856
363;2011-12-29;6;6158;1026,3333333333333
364;2011-12-30;7;10823;1546,142857142857
365;2012-01-03;12;1674;139,5
366;2012-01-04;12;4806;400,5
367;2012-01-05;7;3066;438,0
368;2012-01-06;10;1790;179,0
369;2012-01-09;9;1866;207,33333333333334
370;2012-01-10;9;35101;3900,1111111111113
371;2012-01-11;4;1002;250,5
372;2012-01-12;5;4774;954,8
373;2012-01-13;7;39120;5588,571428571428
374;2012-01-16;1;131;131,0
375;2012-01-17;12;20329;1694,0833333333333
376;2012-01-18;7;995;142,14285714285714
377;2012-01-19;9;2489;276,55555555555554
378;2012-01-20;7;1775;253,57142857142858
379;2012-01-23;8;901;112,625
380;2012-01-24;10;2081;208,1
381;2012-01-25;12;3134;261,1666666666667
382;2012-01-26;10;1303;130,3
383;2012-01-27;10;1174;117,4
384;2012-01-30;10;1203;120,3
385;2012-01-31;11;1099;99,9090909090909
386;2012-02-01;14;1888;134,85714285714286
387;2012-02-02;2;380;190,0
388;2012-02-03;9;799;88,77777777777777
389;2012-02-05;3;121;40,333333333333336
390;2012-02-06;19;1427;75,10526315789474
391;2012-02-07;10;1069;106,9
392;2012-02-08;26;13815;531,3461538461538
393;2012-02-09;19;2057;108,26315789473684
394;2012-02-10;8;937;117,125
395;2012-02-13;10;1943;194,3
396;2012-02-14;12;2795;232,91666666666666
397;2012-02-15;22;1660;75,45454545454545
398;2012-02-16;13;1292;99,38461538461539
399;2012-02-17;10;1363;136,3
400;2012-02-21;12;2048;170,66666666666666
401;2012-02-22;11;1708;155,27272727272728
402;2012-02-23;11;9088;826,1818181818181
403;2012-02-24;12;1583;131,91666666666666
404;2012-02-27;15;3860;257,3333333333333
405;2012-02-28;11;1341;121,9090909090909
406;2012-02-29;8;848;106,0
407;2012-03-01;6;1075;179,16666666666666
408;2012-03-05;13;2081;160,07692307692307
409;2012-03-06;10;2261;226,1
410;2012-03-07;8;555;69,375
411;2012-03-08;7;636;90,85714285714286
412;2012-03-09;5;847;169,4
413;2012-03-12;17;56660;3332,9411764705883
414;2012-03-13;11;2823;256,6363636363636
415;2012-03-14;8;647;80,875
416;2012-03-15;10;1399;139,9
417;2012-03-16;12;2742;228,5
418;2012-03-17;1;62;62,0
419;2012-03-19;10;8105;810,5
420;2012-03-20;9;5281;586,7777777777778
421;2012-03-21;8;2180;272,5
422;2012-03-22;10;1434;143,4
423;2012-03-23;9;999;111,0
424;2012-03-26;8;669;83,625
425;2012-03-28;15;1440;96,0
426;2012-03-29;13;1094;84,15384615384616
427;2012-03-30;16;2856;178,5
