;YYYY-MM-DD;content;engagement;engagement/tweet
723;2013-04-02;15;6679;445,26666666666665
724;2013-04-03;20;13349;667,45
725;2013-04-04;10;5591;559,1
726;2013-04-05;35;6151;175,74285714285713
727;2013-04-06;5;2326;465,2
728;2013-04-07;35;3401;97,17142857142858
729;2013-04-08;12;3794;316,1666666666667
730;2013-04-09;37;3427;92,62162162162163
731;2013-04-10;27;26248;972,1481481481482
732;2013-04-11;36;5532;153,66666666666666
733;2013-04-12;41;11020;268,780487804878
734;2013-04-13;17;3507;206,2941176470588
735;2013-04-14;53;2909;54,886792452830186
736;2013-04-15;14;2732;195,14285714285714
737;2013-04-16;30;5504;183,46666666666667
738;2013-04-17;51;10296;201,88235294117646
739;2013-04-18;17;9547;561,5882352941177
740;2013-04-19;26;41705;1604,0384615384614
741;2013-04-20;20;1346;67,3
742;2013-04-21;41;172083;4197,1463414634145
743;2013-04-22;38;11085;291,7105263157895
744;2013-04-23;22;14801;672,7727272727273
745;2013-04-24;61;33036;541,5737704918033
746;2013-04-25;46;11430;248,47826086956522
747;2013-04-26;49;24898;508,1224489795918
748;2013-04-27;11;625;56,81818181818182
749;2013-04-28;29;3858;133,0344827586207
750;2013-04-29;47;3448;73,36170212765957
751;2013-04-30;28;1636;58,42857142857143
752;2013-05-01;39;14239;365,1025641025641
753;2013-05-02;20;5171;258,55
754;2013-05-03;16;98936;6183,5
755;2013-05-05;2;127;63,5
756;2013-05-06;10;3040;304,0
757;2013-05-07;40;45391;1134,775
758;2013-05-08;35;295408;8440,228571428572
759;2013-05-09;6;2380;396,6666666666667
760;2013-05-10;18;2698;149,88888888888889
761;2013-05-11;26;9828;378,0
762;2013-05-12;19;1339;70,47368421052632
763;2013-05-13;11;5505;500,45454545454544
764;2013-05-14;7;7244;1034,857142857143
765;2013-05-15;17;3639;214,05882352941177
766;2013-05-16;35;8238;235,37142857142857
767;2013-05-17;22;4077;185,3181818181818
768;2013-05-18;7;3486;498,0
769;2013-05-19;25;2520;100,8
770;2013-05-20;38;2572;67,6842105263158
771;2013-05-21;13;1577;121,3076923076923
772;2013-05-22;44;9929;225,6590909090909
773;2013-05-23;22;1733;78,77272727272727
774;2013-05-24;75;11068;147,57333333333332
775;2013-05-25;65;55050;846,9230769230769
776;2013-05-26;5;290;58,0
777;2013-05-27;32;11992;374,75
778;2013-05-28;35;5126;146,45714285714286
779;2013-05-29;25;4092;163,68
780;2013-05-30;48;10755;224,0625
781;2013-05-31;11;1081;98,27272727272727
782;2013-06-02;8;352;44,0
783;2013-06-03;32;5195;162,34375
784;2013-06-04;16;2252;140,75
785;2013-06-05;44;30878;701,7727272727273
786;2013-06-06;2;1467;733,5
787;2013-06-07;7;639;91,28571428571429
788;2013-06-08;3;168;56,0
789;2013-06-10;15;4032;268,8
790;2013-06-11;27;4511;167,07407407407408
791;2013-06-12;45;8482;188,48888888888888
792;2013-06-13;12;1833;152,75
793;2013-06-14;13;1846;142,0
794;2013-06-15;17;77932;4584,235294117647
795;2013-06-16;2;210;105,0
796;2013-06-17;12;2326;193,83333333333334
797;2013-06-18;27;140941;5220,037037037037
798;2013-06-19;8;861;107,625
799;2013-06-20;20;6260;313,0
800;2013-06-21;12;3662;305,1666666666667
801;2013-06-22;5;750;150,0
802;2013-06-23;1;107;107,0
803;2013-06-24;15;2358;157,2
804;2013-06-25;37;5120;138,3783783783784
805;2013-06-26;19;4390;231,05263157894737
806;2013-06-27;23;7722;335,7391304347826
807;2013-06-28;12;3610;300,8333333333333
808;2013-06-29;32;88339;2760,59375
809;2013-06-30;22;34705;1577,5
810;2013-07-01;20;8681;434,05
811;2013-07-02;16;4647;290,4375
812;2013-07-03;43;4131;96,06976744186046
813;2013-07-04;10;29200;2920,0
814;2013-07-05;35;7404;211,54285714285714
815;2013-07-06;30;1538;51,266666666666666
816;2013-07-07;9;283;31,444444444444443
817;2013-07-08;37;4661;125,97297297297297
818;2013-07-09;29;8326;287,1034482758621
819;2013-07-10;44;8382;190,5
820;2013-07-11;8;1512;189,0
821;2013-07-12;4;606;151,5
822;2013-07-13;38;8345;219,60526315789474
823;2013-07-14;23;1975;85,8695652173913
824;2013-07-15;16;2798;174,875
825;2013-07-16;51;7930;155,49019607843138
826;2013-07-17;43;9019;209,74418604651163
827;2013-07-18;32;22906;715,8125
828;2013-07-19;21;5399;257,0952380952381
829;2013-07-20;6;198;33,0
830;2013-07-21;13;673;51,76923076923077
831;2013-07-22;8;575;71,875
832;2013-07-23;31;17116;552,1290322580645
833;2013-07-24;21;10694;509,23809523809524
834;2013-07-25;12;2657;221,41666666666666
835;2013-07-26;6;2994;499,0
836;2013-07-27;3;396;132,0
837;2013-07-28;23;1024;44,52173913043478
838;2013-07-29;22;4293;195,13636363636363
839;2013-07-30;14;9352;668,0
840;2013-07-31;29;4946;170,55172413793105
841;2013-08-01;52;11265;216,6346153846154
842;2013-08-02;19;5176;272,42105263157896
843;2013-08-04;11;305;27,727272727272727
844;2013-08-05;33;8871;268,8181818181818
845;2013-08-06;23;5564;241,91304347826087
846;2013-08-07;23;4283;186,2173913043478
847;2013-08-08;28;11750;419,64285714285717
848;2013-08-09;29;5769;198,93103448275863
849;2013-08-10;4;97;24,25
850;2013-08-11;19;589;31,0
851;2013-08-12;42;3490;83,0952380952381
852;2013-08-13;36;11446;317,94444444444446
853;2013-08-14;16;2258;141,125
854;2013-08-15;42;3602;85,76190476190476
855;2013-08-16;20;10125;506,25
856;2013-08-17;12;1995;166,25
857;2013-08-18;14;3300;235,71428571428572
858;2013-08-19;16;8064;504,0
859;2013-08-20;35;5845;167,0
860;2013-08-21;36;4276;118,77777777777777
861;2013-08-22;26;6965;267,88461538461536
862;2013-08-23;3;172;57,333333333333336
863;2013-08-24;8;301;37,625
864;2013-08-25;24;9293;387,2083333333333
865;2013-08-26;18;2094;116,33333333333333
866;2013-08-27;10;929;92,9
867;2013-08-28;48;18795;391,5625
868;2013-08-29;41;94797;2312,121951219512
869;2013-08-30;27;128390;4755,185185185185
870;2013-08-31;17;399626;23507,41176470588
871;2013-09-01;21;11218;534,1904761904761
872;2013-09-02;26;24559;944,5769230769231
873;2013-09-03;25;42768;1710,72
874;2013-09-04;33;15029;455,42424242424244
875;2013-09-05;35;199134;5689,542857142857
876;2013-09-06;19;12820;674,7368421052631
877;2013-09-07;43;23723;551,6976744186046
878;2013-09-08;20;11286;564,3
879;2013-09-09;26;22114;850,5384615384615
880;2013-09-10;74;23600;318,9189189189189
881;2013-09-11;36;64510;1791,9444444444443
882;2013-09-12;21;7378;351,3333333333333
883;2013-09-13;20;7959;397,95
884;2013-09-14;10;1638;163,8
885;2013-09-15;14;6184;441,7142857142857
886;2013-09-16;12;11970;997,5
887;2013-09-17;19;4216;221,89473684210526
888;2013-09-18;23;42841;1862,6521739130435
889;2013-09-19;16;78574;4910,875
890;2013-09-20;28;48645;1737,3214285714287
891;2013-09-21;22;3810;173,1818181818182
892;2013-09-22;19;1970;103,6842105263158
893;2013-09-23;12;6349;529,0833333333334
894;2013-09-24;18;10966;609,2222222222222
895;2013-09-25;10;9816;981,6
896;2013-09-26;27;5870;217,40740740740742
897;2013-09-27;21;4526;215,52380952380952
898;2013-09-28;3;276;92,0
899;2013-09-29;5;1001;200,2
900;2013-09-30;17;4067;239,23529411764707
901;2013-10-01;20;6580;329,0
902;2013-10-02;23;7196;312,8695652173913
903;2013-10-03;22;5034;228,8181818181818
904;2013-10-04;20;4834;241,7
905;2013-10-05;1;62;62,0
906;2013-10-06;1;36;36,0
907;2013-10-07;18;165644;9202,444444444445
908;2013-10-08;18;33489;1860,5
909;2013-10-09;16;12343;771,4375
910;2013-10-10;22;6079;276,3181818181818
911;2013-10-11;48;5008;104,33333333333333
912;2013-10-12;1;86;86,0
913;2013-10-13;5;286;57,2
914;2013-10-14;24;1828;76,16666666666667
915;2013-10-15;6;1909;318,1666666666667
916;2013-10-16;14;348;24,857142857142858
917;2013-10-17;37;5256;142,05405405405406
918;2013-10-18;51;8952;175,52941176470588
919;2013-10-19;17;1529;89,94117647058823
920;2013-10-20;12;1059;88,25
921;2013-10-21;19;2805;147,6315789473684
922;2013-10-22;8;5036;629,5
923;2013-10-23;18;5855;325,27777777777777
924;2013-10-24;12;5331;444,25
925;2013-10-25;10;977;97,7
926;2013-10-26;16;4815;300,9375
927;2013-10-27;38;5215;137,23684210526315
928;2013-10-28;15;1950;130,0
929;2013-10-29;20;8164;408,2
930;2013-10-30;14;13174;941,0
931;2013-10-31;19;6932;364,8421052631579
932;2013-11-01;7;4155;593,5714285714286
933;2013-11-02;2;1165;582,5
934;2013-11-03;10;501;50,1
935;2013-11-04;20;2042;102,1
936;2013-11-05;17;4280;251,76470588235293
937;2013-11-06;20;6753;337,65
938;2013-11-07;15;7017;467,8
939;2013-11-08;4;49029;12257,25
940;2013-11-09;8;2609;326,125
941;2013-11-10;13;19519;1501,4615384615386
942;2013-11-11;10;21287;2128,7
943;2013-11-12;13;6387;491,3076923076923
944;2013-11-13;10;3486;348,6
945;2013-11-14;15;12003;800,2
946;2013-11-15;18;8065;448,05555555555554
947;2013-11-16;8;1226;153,25
948;2013-11-17;5;3029;605,8
949;2013-11-18;9;11237;1248,5555555555557
950;2013-11-19;20;6656;332,8
951;2013-11-20;20;5421;271,05
952;2013-11-21;14;26091;1863,642857142857
953;2013-11-22;11;6366;578,7272727272727
954;2013-11-23;7;6574;939,1428571428571
955;2013-11-24;9;12616;1401,7777777777778
956;2013-11-25;13;23291;1791,6153846153845
957;2013-11-26;16;6379;398,6875
958;2013-11-27;22;153373;6971,5
959;2013-11-28;9;2833;314,77777777777777
960;2013-11-29;9;765;85,0
961;2013-11-30;26;4001;153,8846153846154
962;2013-12-02;22;3705;168,4090909090909
963;2013-12-03;23;6505;282,82608695652175
964;2013-12-04;8;6003;750,375
965;2013-12-05;11;6130;557,2727272727273
966;2013-12-06;20;13165;658,25
967;2013-12-07;7;2790;398,57142857142856
968;2013-12-08;9;7163;795,8888888888889
969;2013-12-09;18;3488;193,77777777777777
970;2013-12-10;32;5884;183,875
971;2013-12-11;10;2916;291,6
972;2013-12-12;12;47229;3935,75
973;2013-12-13;18;23664;1314,6666666666667
974;2013-12-14;4;1945;486,25
975;2013-12-15;3;3209;1069,6666666666667
976;2013-12-16;8;1091;136,375
977;2013-12-17;21;6381;303,85714285714283
978;2013-12-18;8;7924;990,5
979;2013-12-19;27;10366;383,9259259259259
980;2013-12-20;20;18564;928,2
981;2013-12-21;15;3136;209,06666666666666
982;2013-12-22;7;2256;322,2857142857143
983;2013-12-23;13;5238;402,9230769230769
984;2013-12-24;20;19888;994,4
985;2013-12-25;2;18471;9235,5
986;2013-12-26;5;4131;826,2
987;2013-12-27;3;3999;1333,0
988;2013-12-28;9;4551;505,6666666666667
989;2013-12-29;2;993;496,5
990;2013-12-30;12;47459;3954,9166666666665
991;2013-12-31;6;4596;766,0
992;2014-01-01;3;14331;4777,0
993;2014-01-02;15;4695;313,0
994;2014-01-03;10;4498;449,8
995;2014-01-05;1;146;146,0
996;2014-01-06;11;4240;385,45454545454544
997;2014-01-07;7;2679;382,7142857142857
998;2014-01-08;28;3640;130,0
999;2014-01-09;21;67627;3220,3333333333335
1000;2014-01-10;12;4093;341,0833333333333
1001;2014-01-11;12;4327;360,5833333333333
1002;2014-01-12;13;3070;236,15384615384616
1003;2014-01-13;17;7626;448,5882352941176
1004;2014-01-14;35;6143;175,5142857142857
1005;2014-01-15;22;1848;84,0
1006;2014-01-16;12;14469;1205,75
1007;2014-01-17;11;4868;442,54545454545456
1008;2014-01-18;9;647;71,88888888888889
1009;2014-01-19;11;747;67,9090909090909
1010;2014-01-20;11;5894;535,8181818181819
1011;2014-01-21;1;315;315,0
1012;2014-01-22;5;3628;725,6
1013;2014-01-23;4;4034;1008,5
1014;2014-01-24;7;2252;321,7142857142857
1015;2014-01-25;4;3505;876,25
1016;2014-01-26;2;3224;1612,0
1017;2014-01-27;8;3470;433,75
1018;2014-01-28;9;5957;661,8888888888889
1019;2014-01-29;32;17120;535,0
1020;2014-01-30;9;10877;1208,5555555555557
1021;2014-01-31;22;4836;219,8181818181818
1022;2014-02-01;2;116;58,0
1023;2014-02-02;5;2452;490,4
1024;2014-02-03;10;4777;477,7
1025;2014-02-04;9;3535;392,77777777777777
1026;2014-02-05;9;9158;1017,5555555555555
1027;2014-02-06;4;1125;281,25
1028;2014-02-08;2;253;126,5
1029;2014-02-10;14;4096;292,57142857142856
1030;2014-02-11;1;498;498,0
1031;2014-02-12;10;3041;304,1
1032;2014-02-13;13;2337;179,76923076923077
1033;2014-02-14;36;4200;116,66666666666667
1034;2014-02-15;8;904;113,0
1035;2014-02-16;7;391;55,857142857142854
1036;2014-02-17;9;6624;736,0
1037;2014-02-18;12;7192;599,3333333333334
1038;2014-02-19;33;12052;365,2121212121212
1039;2014-02-20;27;2288;84,74074074074075
1040;2014-02-21;10;1822;182,2
1041;2014-02-22;8;1451;181,375
1042;2014-02-23;13;5248;403,6923076923077
1043;2014-02-24;11;5242;476,54545454545456
1044;2014-02-25;23;5355;232,82608695652175
1045;2014-02-26;13;3370;259,2307692307692
1046;2014-02-27;9;1069;118,77777777777777
1047;2014-02-28;9;6447;716,3333333333334
1048;2014-03-01;5;923;184,6
1049;2014-03-02;67;130297;1944,7313432835822
1050;2014-03-03;11;17303;1573,0
1051;2014-03-04;11;11488;1044,3636363636363
1052;2014-03-05;7;2551;364,42857142857144
1053;2014-03-06;11;2599;236,27272727272728
1054;2014-03-07;8;1465;183,125
1055;2014-03-08;10;604;60,4
1056;2014-03-10;7;800;114,28571428571429
1057;2014-03-11;19;4565;240,26315789473685
1058;2014-03-12;9;3872;430,22222222222223
1059;2014-03-13;12;2791;232,58333333333334
1060;2014-03-14;12;4502;375,1666666666667
1061;2014-03-15;4;365;91,25
1062;2014-03-16;3;1406;468,6666666666667
1063;2014-03-17;17;9913;583,1176470588235
1064;2014-03-18;8;4890;611,25
1065;2014-03-19;24;259412;10808,833333333334
1066;2014-03-20;11;12323;1120,2727272727273
1067;2014-03-21;7;16369;2338,4285714285716
1068;2014-03-22;2;3192;1596,0
1069;2014-03-24;9;4257;473,0
1070;2014-03-25;5;2629;525,8
1071;2014-03-26;11;9588;871,6363636363636
1072;2014-03-27;43;11084;257,7674418604651
1073;2014-03-28;22;50038;2274,4545454545455
1074;2014-03-29;19;4326;227,68421052631578
1075;2014-03-30;12;1321;110,08333333333333
1076;2014-03-31;14;3410;243,57142857142858
1077;2014-04-01;20;3705;185,25
1078;2014-04-02;7;2754;393,42857142857144
1079;2014-04-03;11;3764;342,1818181818182
1080;2014-04-04;24;4473;186,375
1081;2014-04-05;34;10364;304,8235294117647
1082;2014-04-06;7;523;74,71428571428571
1083;2014-04-07;13;1300;100,0
1084;2014-04-08;9;1735;192,77777777777777
1085;2014-04-09;31;4011;129,38709677419354
1086;2014-04-10;17;4688;275,7647058823529
1087;2014-04-11;19;3603;189,6315789473684
1088;2014-04-12;8;735;91,875
1089;2014-04-13;3;928;309,3333333333333
1090;2014-04-14;17;7259;427,0
1091;2014-04-15;21;4989;237,57142857142858
1092;2014-04-16;16;4650;290,625
1093;2014-04-17;19;3042;160,10526315789474
1094;2014-04-18;44;9020;205,0
1095;2014-04-19;14;2737;195,5
1096;2014-04-20;23;2991;130,04347826086956
1097;2014-04-21;17;9296;546,8235294117648
1098;2014-04-22;36;17691;491,4166666666667
1099;2014-04-23;33;8578;259,93939393939394
1100;2014-04-24;26;4000;153,84615384615384
1101;2014-04-25;15;4140;276,0
1102;2014-04-27;3;744;248,0
1103;2014-04-28;12;3079;256,5833333333333
1104;2014-04-29;26;4234;162,84615384615384
1105;2014-05-01;8;922;115,25
1106;2014-05-02;57;19642;344,5964912280702
1107;2014-05-03;12;9246;770,5
1108;2014-05-04;10;58178;5817,8
1109;2014-05-05;34;3647;107,26470588235294
1110;2014-05-06;9;2467;274,1111111111111
1111;2014-05-07;13;93095;7161,153846153846
1112;2014-05-08;32;44002;1375,0625
1113;2014-05-09;13;3341;257,0
1114;2014-05-10;2;298;149,0
1115;2014-05-11;3;971;323,6666666666667
1116;2014-05-12;8;2590;323,75
1117;2014-05-13;12;3463;288,5833333333333
1118;2014-05-14;5;1882;376,4
1119;2014-05-15;7;6320;902,8571428571429
1120;2014-05-16;7;3183;454,7142857142857
1121;2014-05-17;19;1998;105,15789473684211
1122;2014-05-18;4;19311;4827,75
1123;2014-05-19;22;7308;332,1818181818182
1124;2014-05-20;8;4962;620,25
1125;2014-05-21;6;2893;482,1666666666667
1126;2014-05-22;10;1637;163,7
1127;2014-05-23;18;21360;1186,6666666666667
1128;2014-05-24;1;216;216,0
1129;2014-05-25;3;807;269,0
1130;2014-05-26;8;1515;189,375
1131;2014-05-27;23;7628;331,6521739130435
1132;2014-05-28;8;5232;654,0
1133;2014-05-29;4;1421;355,25
1134;2014-05-30;14;3356;239,71428571428572
1135;2014-05-31;24;3637;151,54166666666666
1136;2014-06-01;27;1946;72,07407407407408
1137;2014-06-02;8;2486;310,75
1138;2014-06-03;29;13504;465,6551724137931
1139;2014-06-04;28;503909;17996,75
1140;2014-06-05;8;9962;1245,25
1141;2014-06-06;6;3998;666,3333333333334
1142;2014-06-07;5;1553;310,6
1143;2014-06-08;24;13673;569,7083333333334
1144;2014-06-09;23;4165;181,08695652173913
1145;2014-06-10;32;8081;252,53125
1146;2014-06-11;15;2824;188,26666666666668
1147;2014-06-12;14;4920;351,42857142857144
1148;2014-06-13;45;4876;108,35555555555555
1149;2014-06-14;57;18243;320,05263157894734
1150;2014-06-15;41;1999;48,75609756097561
1151;2014-06-16;46;7797;169,5
1152;2014-06-17;81;43832;541,1358024691358
1153;2014-06-18;23;57747;2510,7391304347825
1154;2014-06-19;28;3427;122,39285714285714
1155;2014-06-20;19;2493;131,21052631578948
1156;2014-06-21;28;1169;41,75
1157;2014-06-22;24;1835;76,45833333333333
1158;2014-06-23;26;2865;110,1923076923077
1159;2014-06-24;18;5928;329,3333333333333
1160;2014-06-25;15;2540;169,33333333333334
1161;2014-06-26;31;7830;252,58064516129033
1162;2014-06-27;11;14016;1274,1818181818182
1163;2014-06-29;25;4523;180,92
1164;2014-06-30;9;2270;252,22222222222223
1165;2014-07-01;26;5017;192,96153846153845
1166;2014-07-02;8;1676;209,5
1167;2014-07-03;15;67048;4469,866666666667
1168;2014-07-05;10;2821;282,1
1169;2014-07-06;1;303;303,0
1170;2014-07-07;17;2868;168,7058823529412
1171;2014-07-08;22;5666;257,54545454545456
1172;2014-07-09;43;11446;266,1860465116279
1173;2014-07-10;29;12214;421,17241379310343
1174;2014-07-11;20;5889;294,45
1175;2014-07-12;3;265;88,33333333333333
1176;2014-07-13;11;3291;299,1818181818182
1177;2014-07-14;18;5934;329,6666666666667
1178;2014-07-15;21;5128;244,1904761904762
1179;2014-07-16;20;3132;156,6
1180;2014-07-17;24;9433;393,0416666666667
1181;2014-07-18;7;2842;406,0
1182;2014-07-19;4;444;111,0
1183;2014-07-20;3;306;102,0
1184;2014-07-21;22;17691;804,1363636363636
1185;2014-07-22;10;8800;880,0
1186;2014-07-23;24;4188;174,5
1187;2014-07-24;15;21194;1412,9333333333334
1188;2014-07-25;7;1799;257,0
1189;2014-07-26;4;302;75,5
1190;2014-07-28;17;4179;245,8235294117647
1191;2014-07-29;38;4925;129,60526315789474
1192;2014-07-30;15;3898;259,8666666666667
1193;2014-07-31;36;6428;178,55555555555554
1194;2014-08-01;19;47210;2484,7368421052633
1195;2014-08-02;8;2968;371,0
1196;2014-08-03;3;348;116,0
1197;2014-08-04;16;5495;343,4375
1198;2014-08-05;24;10357;431,5416666666667
1199;2014-08-06;8;3960;495,0
1200;2014-08-07;10;1203;120,3
1201;2014-08-08;22;15598;709,0
1202;2014-08-09;6;60363;10060,5
1203;2014-08-11;27;5029;186,25925925925927
1204;2014-08-12;26;9106;350,2307692307692
1205;2014-08-13;8;3556;444,5
1206;2014-08-14;1;110;110,0
1207;2014-08-15;1;78;78,0
1208;2014-08-18;6;2597;432,8333333333333
1209;2014-08-19;13;2930;225,3846153846154
1210;2014-08-20;8;1990;248,75
1211;2014-08-21;17;2177;128,05882352941177
1212;2014-08-22;15;2129;141,93333333333334
1213;2014-08-23;13;83311;6408,538461538462
1214;2014-08-25;27;6883;254,92592592592592
1215;2014-08-26;9;2488;276,44444444444446
1216;2014-08-27;22;7072;321,45454545454544
1217;2014-08-28;8;4200;525,0
1218;2014-08-29;8;2814;351,75
1219;2014-08-30;1;132;132,0
1220;2014-08-31;12;16611;1384,25
1221;2014-09-01;20;1661;83,05
1222;2014-09-02;22;4509;204,95454545454547
1223;2014-09-03;21;15768;750,8571428571429
1224;2014-09-04;13;11848;911,3846153846154
1225;2014-09-05;12;4775;397,9166666666667
1226;2014-09-06;33;25215;764,0909090909091
1227;2014-09-07;6;3241;540,1666666666666
1228;2014-09-08;20;3379;168,95
1229;2014-09-09;23;16109;700,3913043478261
1230;2014-09-10;10;75826;7582,6
1231;2014-09-11;22;18720;850,9090909090909
1232;2014-09-12;10;5614;561,4
1233;2014-09-13;21;4834;230,1904761904762
1234;2014-09-14;6;890;148,33333333333334
1235;2014-09-15;10;7914;791,4
1236;2014-09-16;17;8923;524,8823529411765
1237;2014-09-17;57;7089;124,36842105263158
1238;2014-09-18;13;1661;127,76923076923077
1239;2014-09-19;14;6307;450,5
1240;2014-09-20;8;19484;2435,5
1241;2014-09-21;2;165;82,5
1242;2014-09-22;20;2747;137,35
1243;2014-09-23;31;3332;107,48387096774194
1244;2014-09-24;12;1649;137,41666666666666
1245;2014-09-25;9;4938;548,6666666666666
1246;2014-09-26;16;20355;1272,1875
1247;2014-09-27;5;394;78,8
1248;2014-09-28;7;142047;20292,428571428572
1249;2014-09-29;28;6316;225,57142857142858
1250;2014-09-30;19;15590;820,5263157894736
1251;2014-10-01;31;28461;918,0967741935484
1252;2014-10-02;15;8656;577,0666666666667
1253;2014-10-03;13;1151;88,53846153846153
1254;2014-10-04;11;14696;1336,0
1255;2014-10-05;4;9161;2290,25
1256;2014-10-06;19;5978;314,63157894736844
1257;2014-10-07;22;4775;217,04545454545453
1258;2014-10-08;26;9786;376,38461538461536
1259;2014-10-09;27;12847;475,81481481481484
1260;2014-10-10;51;20404;400,078431372549
1261;2014-10-11;13;10377;798,2307692307693
1262;2014-10-12;9;4839;537,6666666666666
1263;2014-10-13;32;44543;1391,96875
1264;2014-10-14;8;12511;1563,875
1265;2014-10-15;29;25169;867,8965517241379
1266;2014-10-16;19;35436;1865,0526315789473
1267;2014-10-17;30;18397;613,2333333333333
1268;2014-10-18;1;255;255,0
1269;2014-10-19;18;3535;196,38888888888889
1270;2014-10-20;33;13536;410,1818181818182
1271;2014-10-21;17;11058;650,4705882352941
1272;2014-10-22;15;88286;5885,733333333334
1273;2014-10-23;26;34112;1312,0
1274;2014-10-24;14;7195;513,9285714285714
1275;2014-10-25;4;17497;4374,25
1276;2014-10-26;12;3169;264,0833333333333
1277;2014-10-27;26;2683;103,1923076923077
1278;2014-10-28;34;18404;541,2941176470588
1279;2014-10-29;23;30401;1321,7826086956522
1280;2014-10-30;18;2711;150,61111111111111
1281;2014-10-31;23;4213;183,17391304347825
1282;2014-11-01;26;3858;148,3846153846154
1283;2014-11-02;35;3447;98,48571428571428
1284;2014-11-03;18;1454;80,77777777777777
1285;2014-11-04;43;8040;186,97674418604652
1286;2014-11-05;18;8386;465,8888888888889
1287;2014-11-06;44;11023;250,52272727272728
1288;2014-11-07;35;6230;178,0
1289;2014-11-09;19;1639;86,26315789473684
1290;2014-11-10;46;7378;160,3913043478261
1291;2014-11-11;18;3397;188,72222222222223
1292;2014-11-12;8;14871;1858,875
1293;2014-11-13;9;1592;176,88888888888889
1294;2014-11-14;6;2554;425,6666666666667
1295;2014-11-16;10;2677;267,7
1296;2014-11-17;12;1730;144,16666666666666
1297;2014-11-18;21;5325;253,57142857142858
1298;2014-11-19;15;3608;240,53333333333333
1299;2014-11-20;12;22622;1885,1666666666667
1300;2014-11-21;23;14304;621,9130434782609
1301;2014-11-22;12;2608;217,33333333333334
1302;2014-11-23;32;10172;317,875
1303;2014-11-24;28;18804;671,5714285714286
1304;2014-11-25;17;91065;5356,764705882353
1305;2014-11-26;27;5407;200,25925925925927
1306;2014-11-27;3;1123;374,3333333333333
1307;2014-11-28;24;1232;51,333333333333336
1308;2014-11-29;13;931;71,61538461538461
1309;2014-11-30;2;2485;1242,5
1310;2014-12-01;45;6000;133,33333333333334
1311;2014-12-02;64;8161;127,515625
1312;2014-12-03;14;2311;165,07142857142858
1313;2014-12-04;16;2909;181,8125
1314;2014-12-05;11;3014;274,0
1315;2014-12-07;24;1574;65,58333333333333
1316;2014-12-08;36;9298;258,27777777777777
1317;2014-12-09;45;6435;143,0
1318;2014-12-10;42;3329;79,26190476190476
1319;2014-12-11;22;6561;298,22727272727275
1320;2014-12-12;10;3062;306,2
1321;2014-12-13;17;1616;95,05882352941177
1322;2014-12-14;7;974;139,14285714285714
1323;2014-12-15;47;17494;372,21276595744683
1324;2014-12-16;16;6569;410,5625
1325;2014-12-17;11;4322;392,90909090909093
1326;2014-12-18;19;1478;77,78947368421052
1327;2014-12-19;28;9025;322,32142857142856
1328;2014-12-20;20;1447;72,35
1329;2014-12-21;6;424;70,66666666666667
1330;2014-12-22;22;3238;147,1818181818182
1331;2014-12-23;25;3688;147,52
1332;2014-12-24;34;9137;268,7352941176471
1333;2014-12-26;37;1838;49,67567567567568
1334;2014-12-27;10;981;98,1
1335;2014-12-28;18;1217;67,61111111111111
1336;2014-12-29;40;28442;711,05
1337;2014-12-30;16;4512;282,0
1338;2014-12-31;19;11473;603,8421052631579
1339;2015-01-01;19;7880;414,7368421052632
1340;2015-01-02;47;4472;95,14893617021276
1341;2015-01-03;42;1877;44,69047619047619
1342;2015-01-04;155;10495;67,70967741935483
1343;2015-01-05;127;6019;47,39370078740158
1344;2015-01-06;33;4447;134,75757575757575
1345;2015-01-07;16;19427;1214,1875
1346;2015-01-08;101;39298;389,08910891089107
1347;2015-01-09;15;2897;193,13333333333333
1348;2015-01-10;13;852;65,53846153846153
1349;2015-01-11;11;809;73,54545454545455
1350;2015-01-12;48;3292;68,58333333333333
1351;2015-01-13;21;1419;67,57142857142857
1352;2015-01-14;21;4567;217,47619047619048
1353;2015-01-15;25;1541;61,64
1354;2015-01-16;6;337;56,166666666666664
1355;2015-01-17;32;4978;155,5625
1356;2015-01-18;16;1968;123,0
1357;2015-01-19;74;5079;68,63513513513513
1358;2015-01-20;31;8345;269,19354838709677
1359;2015-01-21;12;2861;238,41666666666666
1360;2015-01-22;24;6626;276,0833333333333
1361;2015-01-23;6;2539;423,1666666666667
1362;2015-01-24;45;3439;76,42222222222222
1363;2015-01-25;10;10405;1040,5
1364;2015-01-26;92;9990;108,58695652173913
1365;2015-01-27;13;3575;275,0
1366;2015-01-28;35;6621;189,17142857142858
1367;2015-01-29;13;8956;688,9230769230769
1368;2015-01-30;31;11750;379,03225806451616
1369;2015-01-31;11;799;72,63636363636364
1370;2015-02-01;11;13099;1190,8181818181818
1371;2015-02-02;72;15946;221,47222222222223
1372;2015-02-03;13;2688;206,76923076923077
1373;2015-02-04;16;4268;266,75
1374;2015-02-05;8;1998;249,75
1375;2015-02-06;9;10840;1204,4444444444443
1376;2015-02-07;6;1128;188,0
1377;2015-02-08;3;247;82,33333333333333
1378;2015-02-09;104;5222;50,21153846153846
1379;2015-02-10;41;5526;134,78048780487805
1380;2015-02-11;9;1597;177,44444444444446
1381;2015-02-12;12;3712;309,3333333333333
1382;2015-02-13;22;2290;104,0909090909091
1383;2015-02-14;22;3227;146,6818181818182
1384;2015-02-15;11;2329;211,72727272727272
